#,Empresa,Bairro,Categoria,Porte estimado,Rating,Reviews,Telefone,Site,Consumo estimado (MWh/ano),Conta estimada (R$ mil/mês),Dor principal,Lógica de abordagem,Endereço
11,Supermercado Tirol,Tirol,Supermercado,Mercado De Bairro,4.3,572,+55 31 3385-1796,(só Instagram),5-15,5-15,"Margem fina, dono presente no caixa, conta de luz mensal aperta o fluxo.",Economia direta na conta mensal (dor visível no fluxo de caixa) · Autonomia se a luz cair (mercado de bairro não pode fechar) · Sustentabilidade pra fidelizar cliente local consciente.,"Av. Senador Levindo Coelho, 400 - Tirol, Belo Horizonte - MG, 30662-290, Brasil"
12,Epa Supermercados,Independência,Supermercado,Rede Grande,3.9,2092,+55 31 3472-5259,http://www.epa.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","R. Mariza Afonso, 226 - Independência, Belo Horizonte - MG, 30672-670, Brasil"
13,Supermercados BH Buritis,Buritis,Supermercado de descontos,Rede Grande,4.5,1793,+55 31 3378-7148,http://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","Rua Moisés Kalil, 320 - Buritis, Belo Horizonte - MG, 30575-819, Brasil"
14,Supermercado Bom Sucesso,Bonsucesso,Supermercado,Mercado De Bairro,4.4,415,+55 31 3383-8747,-,5-15,5-15,"Margem fina, dono presente no caixa, conta de luz mensal aperta o fluxo.",Economia direta na conta mensal (dor visível no fluxo de caixa) · Autonomia se a luz cair (mercado de bairro não pode fechar) · Sustentabilidade pra fidelizar cliente local consciente.,"R. Dr. Cristiano Rezende, 1840 - Bonsucesso, Belo Horizonte - MG, 30622-020, Brasil"
15,SUPERMERCADOS BH,Teixeira Dias,Supermercado de descontos,Rede Grande,4.1,1826,+55 31 3384-4022,http://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","R. Antônio Teixeira Dias, 1580 - Teixeira Dias, Belo Horizonte - MG, 30642-270, Brasil"
16,SUPERMERCADOS BH,Guarani,Supermercado,Rede Grande,4.3,5315,+55 31 3437-7325,http://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","Av. Waldomiro Lobo, 515 - Guarani, Belo Horizonte - MG, 31814-620, Brasil"
17,SUPERMERCADOS BH,Jardim Vitoria,Supermercado de descontos,Rede Grande,4.3,3929,+55 31 3447-4763,http://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","Rua dos Borges, 1019 - Jardim Vitoria, Belo Horizonte - MG, 31975-270, Brasil"
18,Epa Supermercados,Venda Nova,Supermercado,Rede Grande,4.2,3674,+55 31 3472-5285,http://www.epa.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","Av. Cristiano Machado, 11833 - Venda Nova, Belo Horizonte - MG, 31744-007, Brasil"
19,Supermercados BH,Maria Tereza,Supermercado de descontos,Rede Grande,4.4,565,+55 31 2116-9311,https://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","R. Padre Argemiro Moreira, 12.000 - Maria Tereza, Belo Horizonte - MG, 31998-250, Brasil"
20,SUPERMERCADOS BH,Serra Verde,Supermercado,Rede Grande,4.3,3419,+55 31 3455-1030,http://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","R. Augusto Ferreira dos Santos, 410 - Serra Verde, Belo Horizonte - MG, 31630-120, Brasil"
21,Uberaba Supermercados,Vila Cloris,Supermercado,Rede Média,4.1,2232,+55 31 3454-2675,-,25-60,25-60,"Crescendo, mas com margem comprimida — cada R$ economizado em fixo vira investimento de expansão.",Economia que financia a expansão (a parcela do solar é menor que a economia mensal) · Autonomia da operação se a CEMIG cair · Sustentabilidade como diferencial competitivo no bairro/cidade.,"Av. Dr. Cristiano Guimarães, 135 - Vila Cloris, Belo Horizonte - MG, 31720-300, Brasil"
22,Supermercado Opa - Planalto,Vila Cloris,Supermercado,Rede Pequena,4.4,1292,-,-,12-30,12-30,"Crescendo, mas com margem comprimida — cada R$ economizado em fixo vira investimento de expansão.",Economia que financia a expansão (a parcela do solar é menor que a economia mensal) · Autonomia da operação se a CEMIG cair · Sustentabilidade como diferencial competitivo no bairro/cidade.,"Av. Dr. Cristiano Guimarães, 501 - Vila Cloris, Belo Horizonte - MG, 31744-144, Brasil"
23,Uberaba Supermercados,Venda Nova,Supermercado,Rede Média,4.1,3285,+55 31 3451-4692,-,25-60,25-60,"Crescendo, mas com margem comprimida — cada R$ economizado em fixo vira investimento de expansão.",Economia que financia a expansão (a parcela do solar é menor que a economia mensal) · Autonomia da operação se a CEMIG cair · Sustentabilidade como diferencial competitivo no bairro/cidade.,"R. Padre Pedro Pinto, 440 - Venda Nova, Belo Horizonte - MG, 31610-000, Brasil"
24,Supermercado Boa Ideia Novo Aarão Reis,Novo Aarão Reis,Supermercado,Mercado De Bairro,4.5,612,+55 31 98025-4018,(só Instagram),5-15,5-15,"Margem fina, dono presente no caixa, conta de luz mensal aperta o fluxo.",Economia direta na conta mensal (dor visível no fluxo de caixa) · Autonomia se a luz cair (mercado de bairro não pode fechar) · Sustentabilidade pra fidelizar cliente local consciente.,"Av. Detetive Eduardo Fernandes, 449 - Novo Aarão Reis, Belo Horizonte - MG, 31845-000, Brasil"
25,Supermercado Opa,Tupi,Supermercado,Rede Pequena,4.3,2076,+55 31 3445-6954,-,12-30,12-30,"Crescendo, mas com margem comprimida — cada R$ economizado em fixo vira investimento de expansão.",Economia que financia a expansão (a parcela do solar é menor que a economia mensal) · Autonomia da operação se a CEMIG cair · Sustentabilidade como diferencial competitivo no bairro/cidade.,"Av. Saramenha, 1197 - Tupi, Belo Horizonte - MG, 31840-050, Brasil"
26,Supermercado Campeão,Nazare,Supermercado,Mercado De Bairro,4.3,363,+55 31 3437-3472,(só Instagram),5-15,5-15,"Margem fina, dono presente no caixa, conta de luz mensal aperta o fluxo.",Economia direta na conta mensal (dor visível no fluxo de caixa) · Autonomia se a luz cair (mercado de bairro não pode fechar) · Sustentabilidade pra fidelizar cliente local consciente.,"Rua Sócrates, 790 - Nazare, Belo Horizonte - MG, 31990-010, Brasil"
27,Uberaba Supermercado,Planalto,Supermercado,Rede Média,4.1,3806,+55 31 3494-4624,-,25-60,25-60,"Crescendo, mas com margem comprimida — cada R$ economizado em fixo vira investimento de expansão.",Economia que financia a expansão (a parcela do solar é menor que a economia mensal) · Autonomia da operação se a CEMIG cair · Sustentabilidade como diferencial competitivo no bairro/cidade.,"Av. Gen. Carlos Guedes, 452 - Planalto, Belo Horizonte - MG, 31720-500, Brasil"
28,Supermercados Paranaiba Planalto,Planalto,Supermercado,Rede Média,4.4,1051,+55 31 3454-4600,http://www.supermercadosparanaiba.com.br/,25-60,25-60,"Crescendo, mas com margem comprimida — cada R$ economizado em fixo vira investimento de expansão.",Economia que financia a expansão (a parcela do solar é menor que a economia mensal) · Autonomia da operação se a CEMIG cair · Sustentabilidade como diferencial competitivo no bairro/cidade.,"Av. Dr. Cristiano Guimarães, 240 - Planalto, Belo Horizonte - MG, 33720-300, Brasil"
29,Supermercado HF,Tupi,Supermercado,Mercado De Bairro,4.2,559,+55 31 3445-4355,-,5-15,5-15,"Margem fina, dono presente no caixa, conta de luz mensal aperta o fluxo.",Economia direta na conta mensal (dor visível no fluxo de caixa) · Autonomia se a luz cair (mercado de bairro não pode fechar) · Sustentabilidade pra fidelizar cliente local consciente.,"R. Furquim Werneck, 843 - Tupi, Belo Horizonte - MG, 31840-050, Brasil"
30,SUPERMERCADOS BH,Venda Nova,Supermercado de descontos,Rede Grande,4.2,2524,+55 31 3451-6886,http://www.supermercadosbh.com.br/,60-180,60-180,Operação multi-loja com conta de luz alta em cada unidade — payback agregado é o argumento.,"Economia agregada entre lojas (payback consolidado) · Autonomia se a luz cair em uma das unidades (não para a operação) · Sustentabilidade como narrativa de rede (selo verde nas embalagens, comunicação em loja).","R. Padre Pedro Pinto, 1501 - Venda Nova, Belo Horizonte - MG, 31510-000, Brasil"
