titulo,tag,categoria,nota,avaliacoes,telefone,site,instagram,email,endereco,bairro,maps_url
Cantina do Lucas,,Restaurante,4.5,4397,+55 31 3226-7153,http://www.cantinadolucas.com.br/,https://www.instagram.com/cantinadolucas,contato@cantinadolucas.com.br,"Av. Augusto de Lima, 233 - Loja 18/19 o9 - Centro, Belo Horizonte - MG, 30190-001, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Cantina%20do%20Lucas&query_place_id=ChIJ280vAeSZpgARUkOpIqaZtv8
Eddie Fine Burgers,BURGER,Restaurante,4.3,4329,+55 31 3282-4606,http://www.eddieburger.com.br/,,,"R. da Bahia, 2652 - Lourdes, Belo Horizonte - MG, 30160-019, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Eddie%20Fine%20Burgers&query_place_id=ChIJlfq0f9eZpgAR7nWszwwFoKI
Biggs Lanches e Refeições - Centro,BURGER,Lanchonete,4.6,3764,+55 43 3337-4000,http://www.biggs.com.br/,https://www.instagram.com/euamobiggs,,"R. Belo Horizonte, 1272 - Centro, Londrina - PR, 86020-061, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Biggs%20Lanches%20e%20Refei%C3%A7%C3%B5es%20-%20Centro&query_place_id=ChIJS-Ju1l5D65QRjHLokBcdgtg
Meatz Burger - Centro Sul - Hamburgueria,BURGER,Hamburgueria,4.6,3729,+55 31 98358-4780,https://meatzburger.com/unidades/hamburgueria-centro-sul-bh/,https://www.instagram.com/meatzburger,,"Av. Prudente de Morais, 559 - Santo Antônio, Belo Horizonte - MG, 30350-143, Brasil",Santo Antônio,https://www.google.com/maps/search/?api=1&query=Meatz%20Burger%20-%20Centro%20Sul%20-%20Hamburgueria&query_place_id=ChIJ5Xn1sn2XpgAR9EjE-hO8480
Dona Lucinha Restaurante,,Restaurante Mineiro,4.4,3635,+55 31 2127-0788,https://www.donalucinha.com.br/,https://www.instagram.com/wix,donalucinha@donalucinha.com.br,"R. Padre Odorico, 38 - São Pedro, Belo Horizonte - MG, 30330-040, Brasil",São Pedro,https://www.google.com/maps/search/?api=1&query=Dona%20Lucinha%20Restaurante&query_place_id=ChIJi4uTZNCZpgAR6xrAuwWhPu8
Dal Grano Restaurante e Pizzaria,PIZZA,Restaurante italiano,4.7,3554,+55 31 3505-9240,,,,"Av. Pres. Antônio Carlos, 7456 - Pampulha, Belo Horizonte - MG, 31270-672, Brasil",Pampulha,https://www.google.com/maps/search/?api=1&query=Dal%20Grano%20Restaurante%20e%20Pizzaria&query_place_id=ChIJz4U3-MWRpgARZ7RXLLttMk0
Macau,,Restaurante chinês,4.6,3477,+55 31 3337-6193,http://macaudelivery.com.br/,,,"Av. Olegário Maciel, 1767 - Lourdes, Belo Horizonte - MG, 30180-111, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Macau&query_place_id=ChIJp3RBGmGXpgARTZWueitaSRE
Pizzaria Mangabeiras Matriz,PIZZA,Pizzaria,4.4,3399,+55 31 3211-1777,https://pizzariamangabeiras.com.br/,https://www.instagram.com/pizzariamangabeiras,site@mangabeiras.com.br,"Av. Afonso Pena, 4200 - Mangabeiras, Belo Horizonte - MG, 30120-010, Brasil",Mangabeiras,https://www.google.com/maps/search/?api=1&query=Pizzaria%20Mangabeiras%20Matriz&query_place_id=ChIJGS7g7YuZpgAR5CGYRbA8xWA
68 La Pizzeria,PIZZA,Pizzaria,4.4,3396,+55 31 3292-0208,http://www.meiaoito.com.br/,https://instagram.com/68lapizzeriabh,eventos@meiaoito.com.br,"R. Felipe dos Santos, 68 - Lourdes, Belo Horizonte - MG, 30180-160, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=68%20La%20Pizzeria&query_place_id=ChIJB8up9diZpgARxZ4yntRWMqw
James Burger - Hambúrguer Artesanal na Savassi | Delivery de Hambúrguer | Hamburgueria Perto de Você | Hamburgueria em BH,BURGER,Hamburgueria,4.6,3092,+55 31 99299-1800,http://www.jamesburguerbh.com.br/,,,"R. Sergipe, 1091 - Savassi, Belo Horizonte - MG, 30130-171, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=James%20Burger%20-%20Hamb%C3%BArguer%20Artesanal%20na%20Savassi%20%7C%20Delivery%20de%20Hamb%C3%BArguer%20%7C%20Hamburgueria%20Perto%20de%20Voc%C3%AA%20%7C%20Hamburgueria%20em%20BH&query_place_id=ChIJVyv0t9uZpgAR2bSVTuVvOZ0
Projeto Sabor São Bento,,Restaurante,4.6,3073,+55 31 3342-1373,https://www.projetosabor.com.br/,,,"Av. Cônsul Antônio Cadar, 127 - Santa Lúcia, Belo Horizonte - MG, 30360-082, Brasil",Santa Lúcia,https://www.google.com/maps/search/?api=1&query=Projeto%20Sabor%20S%C3%A3o%20Bento&query_place_id=ChIJPdBYEo-XpgARFF0xZPCGI_o
Pizzaria Olegário Lourdes,PIZZA,Pizzaria,4.5,3053,+55 31 3337-4446,http://pizzariaolegario.com.br/,https://www.instagram.com/pizzariaolegario,ge.mkt@redegourmet.com.br,"Av. Olegário Maciel, 1748 - Lourdes, Belo Horizonte - MG, 30180-111, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Pizzaria%20Oleg%C3%A1rio%20Lourdes&query_place_id=ChIJW64AGWGXpgARsOQRS5wkQjA
VILA ARABE - SAVASSI,,Restaurante libanês,4.5,2774,+55 31 3262-1600,http://www.vilaarabe.com.br/,https://www.instagram.com/vilaarabe,contato@vilaarabe.com,"R. Pernambuco, 781 - Savassi, Belo Horizonte - MG, 30130-151, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20SAVASSI&query_place_id=ChIJi79vytyZpgARJvHZAh9q9DY
Mustache Pizzaria no Lourdes,PIZZA,Pizzaria,4.5,2656,+55 31 3245-7001,https://beacons.ai/mustachehandpizzabh,,,"R. Rio de Janeiro, 1270 - Lourdes, Belo Horizonte - MG, 30160-042, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Mustache%20Pizzaria%20no%20Lourdes&query_place_id=ChIJUaGuE-GZpgARSigq9hINDm8
Pop Kid,,Bar,4.7,2599,+55 31 3080-3715,https://popkidbar.com.br/,https://www.instagram.com/popkidbar,,"R. Rio de Janeiro, 661 - Centro, Belo Horizonte - MG, 30160-041, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Pop%20Kid&query_place_id=ChIJnz4fquSZpgAR6Vc8uEQ_xI0
Bendito Japa – Rodízio Japonês Premium | Lourdes BH,JAPONÊS,Restaurante japonês,4.5,2582,+55 31 3141-2444,http://benditojapaoficial.com/,,,"Av. Olegário Maciel, 1801 - Lourdes, Belo Horizonte - MG, 30180-117, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Bendito%20Japa%20%E2%80%93%20Rod%C3%ADzio%20Japon%C3%AAs%20Premium%20%7C%20Lourdes%20BH&query_place_id=ChIJe70jzsWXpgAREW0HImUn5Ws
Domenico Pizzeria e Trattoria,PIZZA,Restaurante italiano,4.6,2547,+55 31 3565-8385,http://domenicopizzeria.com.br/,http://instagram.com/domenicobh,,"R. Cláudio Manoel, 583 - Savassi, Belo Horizonte - MG, 30140-100, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Domenico%20Pizzeria%20e%20Trattoria&query_place_id=ChIJ6__XtMOZpgARQ_9FypjhjrY
Sushi Naka,JAPONÊS,Restaurante japonês,4.5,2394,+55 31 3287-2714,http://instagram.com/sushinakabh,https://instagram.com/sushinakabh,,"Av. Afonso Pena, 2828 - Savassi, Belo Horizonte - MG, 30130-007, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Sushi%20Naka&query_place_id=ChIJuSeIF8CZpgAR3Xr5f79hUeg
Second House - Pizzaria,PIZZA,Pizzaria,4.8,2240,+55 31 97199-4445,https://thesecondhouse.saipos.com/home,,,"R. Barão de Macaúbas, 109 - Santo Antônio, Belo Horizonte - MG, 30350-090, Brasil",Santo Antônio,https://www.google.com/maps/search/?api=1&query=Second%20House%20-%20Pizzaria&query_place_id=ChIJaYKrZFCXpgARoYbOvB4RZ9w
Dona Fulô | BH,,Restaurante,4.8,2205,+55 31 2516-8973,,,,"R. Santa Catarina, 778 - Lourdes, Belo Horizonte - MG, 30170-081, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Dona%20Ful%C3%B4%20%7C%20BH&query_place_id=ChIJn0Z1Ft6XpgAR411-DAp0SQo
The Black Beef - Savassi,BURGER,Hamburgueria,4.3,2067,+55 31 3141-5552,https://theblackbeef.com.br/unidades/salvador-shopping-paralela-11-3/,,,"R. Paraíba, 845 - Savassi, Belo Horizonte - MG, 30140-131, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=The%20Black%20Beef%20-%20Savassi&query_place_id=ChIJz_Kj_9mZpgARD5sJQbKVl7w
Wanted Hamburgueria Artesanal - Palmares,BURGER,Hamburgueria,4.6,2066,+55 31 3653-4895,http://www.instagram.com/wantedhamburgueria,https://www.instagram.com/wantedhamburgueria,,"Rua Jorge Angel Livraga, 35 - Palmares, Belo Horizonte - MG, 31155-420, Brasil",Palmares,https://www.google.com/maps/search/?api=1&query=Wanted%20Hamburgueria%20Artesanal%20-%20Palmares&query_place_id=ChIJybCi-HWQpgAR1iglpYzLbsE
Kanpai Sion | Comida Japonesa | Rodízio de Sushi BH,JAPONÊS,Restaurante japonês,4.6,1930,+55 31 99858-2666,https://linktr.ee/kanpai.lourdes,,,"Rua Pium-Í, 1122 - Cruzeiro, Belo Horizonte - MG, 30310-080, Brasil",Cruzeiro,https://www.google.com/maps/search/?api=1&query=Kanpai%20Sion%20%7C%20Comida%20Japonesa%20%7C%20Rod%C3%ADzio%20de%20Sushi%20BH&query_place_id=ChIJUzaf6MyZpgARFvAXHsCp92o
Pomodori Pizza,PIZZA,Pizzaria,4.4,1856,+55 31 3281-9299,https://pomodori-savassi.goomer.app/,,,"R. Paraíba, 1356 - Savassi, Belo Horizonte - MG, 30130-141, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Pomodori%20Pizza&query_place_id=ChIJv9KusdqZpgARH0pb5kx0KAY
Pizza Pezzi - Augusto de Lima,PIZZA,Pizzaria,4.7,1811,+55 31 3222-7272,http://www.pizzapezzi.com.br/,https://instagram.com/pizzapezzibh,,"Av. Augusto de Lima, 315 - Centro, Belo Horizonte - MG, 30190-000, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Pizza%20Pezzi%20-%20Augusto%20de%20Lima&query_place_id=ChIJSZHyAOSZpgARSBvpkiwlPvc
Foraster Burguer,BURGER,Hamburgueria,4.9,1743,+55 31 3146-6776,https://forasterburguer.com.br/,https://www.instagram.com/forasterburguer,,"Rua Dr. Júlio Otaviano Ferreira, 615 - Cidade Nova, Belo Horizonte - MG, 31170-200, Brasil",Cidade Nova,https://www.google.com/maps/search/?api=1&query=Foraster%20Burguer&query_place_id=ChIJQ1r1Iy-bpgART0bCgbZHsPk
Popolare Pizza Lourdes,PIZZA,Restaurante italiano,4.9,1704,+55 31 99681-9163,https://www.instagram.com/popolarepizza/,https://www.instagram.com/popolarepizza/,,"Av. Álvares Cabral, 1327 - Lourdes, Belo Horizonte - MG, 30170-004, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Popolare%20Pizza%20Lourdes&query_place_id=ChIJg5SwRr-XpgARsSUNGVWFLFc
Pizzaria Olegário Pátio,PIZZA,Pizzaria,4.5,1660,+55 31 3317-2020,http://pizzariaolegario.com.br/,https://www.instagram.com/pizzariaolegario,ge.mkt@redegourmet.com.br,"R. Lavras, 150 - São Pedro, Belo Horizonte - MG, 30330-010, Brasil",São Pedro,https://www.google.com/maps/search/?api=1&query=Pizzaria%20Oleg%C3%A1rio%20P%C3%A1tio&query_place_id=ChIJJZ0VOdCZpgARqV-MhAa9oTI
Black Burger Artesanal,BURGER,Hamburgueria,4.5,1589,+55 31 2515-2004,https://instadelivery.com.br/blackburgerartesanal,,,"Av. Francisco Sá - Prado, Belo Horizonte - MG, 30410-060, Brasil",Prado,https://www.google.com/maps/search/?api=1&query=Black%20Burger%20Artesanal&query_place_id=ChIJe0dQbWqXpgARRA6bFN9HB7Y
Santa Pizza BH,PIZZA,Pizzaria,4.5,1410,+55 31 98327-0942,,,,"R. Santo Agostinho, 1069 - Sagrada Família, Belo Horizonte - MG, 31035-480, Brasil",Sagrada Família,https://www.google.com/maps/search/?api=1&query=Santa%20Pizza%20BH&query_place_id=ChIJn8nJACyapgARq4d0B_DdCbo
Auguri Pizzaria,PIZZA,Pizzaria,4.6,1367,+55 31 3047-1004,,,,"R. Alabastro, 50 - Santa Tereza, Belo Horizonte - MG, 31015-068, Brasil",Santa Tereza,https://www.google.com/maps/search/?api=1&query=Auguri%20Pizzaria&query_place_id=ChIJq1P-miOapgARRRHoduPyTFw
Koala Sushi Ya,JAPONÊS,Restaurante de sushi,4.6,1306,+55 43 3321-2700,https://koalasushiya.com.br/,https://www.instagram.com/koala.sushiya,,"R. Belo Horizonte, 1321 - Centro, Londrina - PR, 86020-061, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Koala%20Sushi%20Ya&query_place_id=ChIJi7hyaV9D65QROrWMpZu3oa0
Olegário Jardins,PIZZA,Pizzaria,4.4,1302,+55 31 2531-5425,http://pizzariaolegario.com.br/,https://www.instagram.com/pizzariaolegario,ge.mkt@redegourmet.com.br,"Av. Prudente de Morais, 520 - Cidade Jardim, Belo Horizonte - MG, 30380-002, Brasil",Cidade Jardim,https://www.google.com/maps/search/?api=1&query=Oleg%C3%A1rio%20Jardins&query_place_id=ChIJJevjq36XpgARbN1CckUymPM
Villagium Burgueria Artesanal,BURGER,Hamburgueria,4.6,1273,+55 31 3646-0446,http://www.instagram.com/villagium,https://www.instagram.com/villagium,,"Av. Clara Nunes, 114 - Loja 02 - Renascença, Belo Horizonte - MG, 31130-680, Brasil",Renascença,https://www.google.com/maps/search/?api=1&query=Villagium%20Burgueria%20Artesanal&query_place_id=ChIJE0NZ9XqapgARxIzc9tkXa8Q
VILA ARABE - SANTA EFIGENIA,,Lanchonete,4.3,1127,+55 31 3225-1872,http://vilaarabe.com.br/,https://www.instagram.com/vilaarabe,contato@vilaarabe.com,"Av. do Contorno, 3920 - Santa Efigênia, Belo Horizonte - MG, 30110-002, Brasil",Santa Efigênia,https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20SANTA%20EFIGENIA&query_place_id=ChIJN5ZyvZOZpgARbQHRwq2XSxg
Restaurante Minato,JAPONÊS,Restaurante japonês,4.6,1123,+55 43 3321-1652,https://www.ifood.com.br/delivery/londrina-pr/restaurante-minato-centro/5144f870-8026-40f3-8937-b3226345a3c7,https://www.instagram.com/ifoodbrasil,,"R. Belo Horizonte, 115 - Centro, Londrina - PR, 86020-060, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Restaurante%20Minato&query_place_id=ChIJ9f4_IqVE65QRo91gXR6urNk
Tatame Comida Japonesa,JAPONÊS,Restaurante japonês,4.5,1108,+55 31 3227-2069,https://www.instagram.com/restaurantetatame?igsh=ajhoa25lenl4NzNj,,,"R. Grão Mogol, 872 - Sion, Belo Horizonte - MG, 30310-010, Brasil",Sion,https://www.google.com/maps/search/?api=1&query=Tatame%20Comida%20Japonesa&query_place_id=ChIJvaNpfc2ZpgARKIkDfYda_j0
Sushi Up! Alberto Cintra,JAPONÊS,Restaurante japonês,4.6,1082,+55 31 99714-2469,https://www.instagram.com/sushiupdelivery/,https://www.instagram.com/sushiupdelivery/,,"R. Alberto Cintra, 210 - Lj 05 - União, Belo Horizonte - MG, 31160-370, Brasil",União,https://www.google.com/maps/search/?api=1&query=Sushi%20Up!%20Alberto%20Cintra&query_place_id=ChIJ3R2k1jabpgARcpsc3yXn8p0
Sushi Up! Serra,JAPONÊS,Restaurante japonês,4.4,1043,+55 31 97129-6448,https://www.instagram.com/sushiupdelivery/,https://www.instagram.com/sushiupdelivery/,,"R. do Ouro, 395 - Lj 1 - Serra, Belo Horizonte - MG, 30220-000, Brasil",Serra,https://www.google.com/maps/search/?api=1&query=Sushi%20Up!%20Serra&query_place_id=ChIJvQcQxr-ZpgARpD3KmpAF8yY
Kei Cozinha Japonesa,JAPONÊS,Restaurante japonês,4.5,877,+55 31 2555-9090,,,,"R. Bárbara Heliodora, 54 - Lourdes, Belo Horizonte - MG, 30180-130, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Kei%20Cozinha%20Japonesa&query_place_id=ChIJa-Qn8GGXpgAR6lIzr_X8x_E
Satoru Cozinha Oriental,JAPONÊS,Restaurante japonês,4.3,851,+55 31 99531-4988,https://www.instagram.com/satorucozinhaoriental/,https://www.instagram.com/satorucozinhaoriental/,,"Av. Silva Lobo, 1350 - Grajaú, Belo Horizonte - MG, 30431-262, Brasil",Grajaú,https://www.google.com/maps/search/?api=1&query=Satoru%20Cozinha%20Oriental&query_place_id=ChIJ00w0z6SXpgARaWT3vMqRQ3A
Tchambows Burger,BURGER,Hamburgueria,4.6,812,+55 31 3327-0481,,,,"R. Firmino Costa, 23 - Jardim Montanhês, Belo Horizonte - MG, 30750-050, Brasil",Jardim Montanhês,https://www.google.com/maps/search/?api=1&query=Tchambows%20Burger&query_place_id=ChIJHXDd6ieXpgARdBvBz_KQEM8
Hokkaido | Comida Japonesa e Delivery,JAPONÊS,Restaurante japonês,4.6,698,+55 31 3286-4020,https://www.hokkaido.com.br/,https://www.instagram.com/restaurantehokkaidobh,,"BR-356, 2500 - Loja R03 - Santa Lúcia, Belo Horizonte - MG, 30320-901, Brasil",Santa Lúcia,https://www.google.com/maps/search/?api=1&query=Hokkaido%20%7C%20Comida%20Japonesa%20e%20Delivery&query_place_id=ChIJ38giWCyZpgAROhUjfO-xfTc
Minas Burguer BH,BURGER,Hamburgueria,4.8,601,+55 31 97189-4653,,,,"R. Itapetinga, 1179 - Cachoeirinha, Belo Horizonte - MG, 31130-192, Brasil",Cachoeirinha,https://www.google.com/maps/search/?api=1&query=Minas%20Burguer%20BH&query_place_id=ChIJ93piVXKRpgARjLEZmTjLUtM
Indian Gourmet,,Restaurante indiano,4.7,598,+55 31 2555-9005,https://instagram.com/indian_gourmet?utm_source=ig_profile_share&igshid=zkctibqlokr5,,,"R. Alvarenga Peixoto, 585 - Lourdes, Belo Horizonte - MG, 30180-124, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Indian%20Gourmet&query_place_id=ChIJaWFR22GXpgAR6bZ2nKSQFjE
Restaurante Moenda Calamares Camboriú,,Restaurante,4.6,583,+55 47 99967-5606,https://www.camboriubalneario.com/empresa/286/camboriu/alimentacao/restaurante-moenda-calamares-camboriu.html,,,"Alameda Belo Horizonte, 205 - Bairro Areias, Camboriú - SC, 88345-067, Brasil",Bairro Areias,https://www.google.com/maps/search/?api=1&query=Restaurante%20Moenda%20Calamares%20Cambori%C3%BA&query_place_id=ChIJoW1ILq632JQRelEhNchO1o8
Bar do Toninho,,Restaurante do Oriente Médio,4.7,570,+55 31 99157-9799,http://www.instagram.com/bardotoninhoarabe/,https://www.instagram.com/bardotoninhoarabe/,,"R. Níquel, 246 - Serra, Belo Horizonte - MG, 30220-280, Brasil",Serra,https://www.google.com/maps/search/?api=1&query=Bar%20do%20Toninho&query_place_id=ChIJ14beCLuZpgARnNLBzpp1CQs
Juicy Burger Shop BH,BURGER,Hamburgueria,4.5,566,+55 31 99245-1582,https://oia.99app.com/dlp9/mOTyTN?area=BR,,,"Rua dos Guajajaras, 847 - Lourdes, Belo Horizonte - MG, 30180-105, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Juicy%20Burger%20Shop%20BH&query_place_id=ChIJGy67l-qZpgAR_IijaVNtrQU
Marmitaria BH,MARMITA,Delivery,4.2,550,+55 31 3201-1893,http://www.marmitariabh.com.br/,,,"Zap (61 - 99671.0866Av. Amazonas, 1909 - Centro, Belo Horizonte - MG, 30180-001, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Marmitaria%20BH&query_place_id=ChIJyc1MFROXpgAR6CQifny1Q34
Ferris Burger,BURGER,Hamburgueria,4.7,541,+55 31 99598-4609,https://www.instagram.com/ferrisburger/,https://www.instagram.com/ferrisburger/,,"Rua dos Inconfidentes, 615 - Savassi, Belo Horizonte - MG, 30140-120, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Ferris%20Burger&query_place_id=ChIJE7Igt6OZpgAR030CkgL6yoo
Shitake Restaurante Japonês Belo Horizonte,JAPONÊS,Restaurante japonês,4.3,501,+55 31 3568-5832,http://www.shitakebh.com.br/,,,"Av. dos Bandeirantes, 1678 - Mangabeiras, Belo Horizonte - MG, 30315-032, Brasil",Mangabeiras,https://www.google.com/maps/search/?api=1&query=Shitake%20Restaurante%20Japon%C3%AAs%20Belo%20Horizonte&query_place_id=ChIJQ-by2WGXpgARRJylo8FgyK8
Restaurante Alecrim,,Restaurante self-service,4.6,501,+55 43 3029-6790,http://www.facebook.com/alecrim.londrina,,alecrimlondrina@gmail.com,"R. Belo Horizonte, 1701 - Centro, Londrina - PR, 86020-060, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Restaurante%20Alecrim&query_place_id=ChIJzSx7pLJE65QRIaBT8SZdNW8
Empório Sírio Libanês,,Restaurante árabe,4.6,498,+55 31 2512-8877,https://www.instagram.com/emporiosiriofloresta/?hl=en,https://www.instagram.com/emporiosiriofloresta/?hl=en,,"Av. do Contorno, 1722 - Floresta, Belo Horizonte - MG, 30110-017, Brasil",Floresta,https://www.google.com/maps/search/?api=1&query=Emp%C3%B3rio%20S%C3%ADrio%20Liban%C3%AAs&query_place_id=ChIJy_rcuPWZpgARMHMdbYb8v_s
La Brasa Burger Londrina,BURGER,Hamburgueria,4.8,495,+55 43 99617-4263,https://menu.brendi.com.br/la-brasa-burger-londrina,,,"R. Belo Horizonte, 1158 - Centro, Londrina - PR, 86020-150, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=La%20Brasa%20Burger%20Londrina&query_place_id=ChIJgyck5JxF65QRCeFjNVz4LxA
