Maps,Lead Título,Nome da empresa,Nome,Nota,Numero de avaliações,telefone com DDD,site,Nicho,Tag,Faixa,Cidade
https://www.google.com/maps/search/?api=1&query=The%20Black%20Beef%20-%20Savassi&query_place_id=ChIJz_Kj_9mZpgARD5sJQbKVl7w,The Black Beef - Savassi,The Black Beef - Savassi,The Black Beef - Savassi,4.3,2067,+55 31 3141-5552,https://theblackbeef.com.br/unidades/salvador-shopping-paralela-11-3/,Hamburgueria,BURGER,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Wanted%20Hamburgueria%20Artesanal%20-%20Palmares&query_place_id=ChIJybCi-HWQpgAR1iglpYzLbsE,Wanted Hamburgueria Artesanal - Palmares,Wanted Hamburgueria Artesanal - Palmares,Wanted Hamburgueria Artesanal - Palmares,4.6,2066,+55 31 3653-4895,http://www.instagram.com/wantedhamburgueria,Hamburgueria,BURGER,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Kanpai%20Sion%20%7C%20Comida%20Japonesa%20%7C%20Rod%C3%ADzio%20de%20Sushi%20BH&query_place_id=ChIJUzaf6MyZpgARFvAXHsCp92o,Kanpai Sion | Comida Japonesa | Rodízio de Sushi BH,Kanpai Sion | Comida Japonesa | Rodízio de Sushi BH,Kanpai Sion | Comida Japonesa | Rodízio de Sushi BH,4.6,1930,+55 31 99858-2666,https://linktr.ee/kanpai.lourdes,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Pomodori%20Pizza&query_place_id=ChIJv9KusdqZpgARH0pb5kx0KAY,Pomodori Pizza,Pomodori Pizza,Pomodori Pizza,4.4,1856,+55 31 3281-9299,https://pomodori-savassi.goomer.app/,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Pizza%20Pezzi%20-%20Augusto%20de%20Lima&query_place_id=ChIJSZHyAOSZpgARSBvpkiwlPvc,Pizza Pezzi - Augusto de Lima,Pizza Pezzi - Augusto de Lima,Pizza Pezzi - Augusto de Lima,4.7,1811,+55 31 3222-7272,http://www.pizzapezzi.com.br/,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Foraster%20Burguer&query_place_id=ChIJQ1r1Iy-bpgART0bCgbZHsPk,Foraster Burguer,Foraster Burguer,Foraster Burguer,4.9,1743,+55 31 3146-6776,https://forasterburguer.com.br/,Hamburgueria,BURGER,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Popolare%20Pizza%20Lourdes&query_place_id=ChIJg5SwRr-XpgARsSUNGVWFLFc,Popolare Pizza Lourdes,Popolare Pizza Lourdes,Popolare Pizza Lourdes,4.9,1704,+55 31 99681-9163,https://www.instagram.com/popolarepizza/,Restaurante italiano,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Pizzaria%20Oleg%C3%A1rio%20P%C3%A1tio&query_place_id=ChIJJZ0VOdCZpgARqV-MhAa9oTI,Pizzaria Olegário Pátio,Pizzaria Olegário Pátio,Pizzaria Olegário Pátio,4.5,1660,+55 31 3317-2020,http://pizzariaolegario.com.br/,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Black%20Burger%20Artesanal&query_place_id=ChIJe0dQbWqXpgARRA6bFN9HB7Y,Black Burger Artesanal,Black Burger Artesanal,Black Burger Artesanal,4.5,1589,+55 31 2515-2004,https://instadelivery.com.br/blackburgerartesanal,Hamburgueria,BURGER,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Santa%20Pizza%20BH&query_place_id=ChIJn8nJACyapgARq4d0B_DdCbo,Santa Pizza BH,Santa Pizza BH,Santa Pizza BH,4.5,1410,+55 31 98327-0942,,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Auguri%20Pizzaria&query_place_id=ChIJq1P-miOapgARRRHoduPyTFw,Auguri Pizzaria,Auguri Pizzaria,Auguri Pizzaria,4.6,1367,+55 31 3047-1004,,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Oleg%C3%A1rio%20Jardins&query_place_id=ChIJJevjq36XpgARbN1CckUymPM,Olegário Jardins,Olegário Jardins,Olegário Jardins,4.4,1302,+55 31 2531-5425,http://pizzariaolegario.com.br/,Pizzaria,PIZZA,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Villagium%20Burgueria%20Artesanal&query_place_id=ChIJE0NZ9XqapgARxIzc9tkXa8Q,Villagium Burgueria Artesanal,Villagium Burgueria Artesanal,Villagium Burgueria Artesanal,4.6,1273,+55 31 3646-0446,http://www.instagram.com/villagium,Hamburgueria,BURGER,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20SANTA%20EFIGENIA&query_place_id=ChIJN5ZyvZOZpgARbQHRwq2XSxg,VILA ARABE - SANTA EFIGENIA,VILA ARABE - SANTA EFIGENIA,VILA ARABE - SANTA EFIGENIA,4.3,1127,+55 31 3225-1872,http://vilaarabe.com.br/,Lanchonete,,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Tatame%20Comida%20Japonesa&query_place_id=ChIJvaNpfc2ZpgARKIkDfYda_j0,Tatame Comida Japonesa,Tatame Comida Japonesa,Tatame Comida Japonesa,4.5,1108,+55 31 3227-2069,https://www.instagram.com/restaurantetatame?igsh=ajhoa25lenl4NzNj,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Sushi%20Up!%20Alberto%20Cintra&query_place_id=ChIJ3R2k1jabpgARcpsc3yXn8p0,Sushi Up! Alberto Cintra,Sushi Up! Alberto Cintra,Sushi Up! Alberto Cintra,4.6,1082,+55 31 99714-2469,https://www.instagram.com/sushiupdelivery/,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Sushi%20Up!%20Serra&query_place_id=ChIJvQcQxr-ZpgARpD3KmpAF8yY,Sushi Up! Serra,Sushi Up! Serra,Sushi Up! Serra,4.4,1043,+55 31 97129-6448,https://www.instagram.com/sushiupdelivery/,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Kei%20Cozinha%20Japonesa&query_place_id=ChIJa-Qn8GGXpgAR6lIzr_X8x_E,Kei Cozinha Japonesa,Kei Cozinha Japonesa,Kei Cozinha Japonesa,4.5,877,+55 31 2555-9090,,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Satoru%20Cozinha%20Oriental&query_place_id=ChIJ00w0z6SXpgARaWT3vMqRQ3A,Satoru Cozinha Oriental,Satoru Cozinha Oriental,Satoru Cozinha Oriental,4.3,851,+55 31 99531-4988,https://www.instagram.com/satorucozinhaoriental/,Restaurante japonês,JAPONÊS,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Tchambows%20Burger&query_place_id=ChIJHXDd6ieXpgARdBvBz_KQEM8,Tchambows Burger,Tchambows Burger,Tchambows Burger,4.6,812,+55 31 3327-0481,,Hamburgueria,BURGER,A,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Hokkaido%20%7C%20Comida%20Japonesa%20e%20Delivery&query_place_id=ChIJ38giWCyZpgAROhUjfO-xfTc,Hokkaido | Comida Japonesa e Delivery,Hokkaido | Comida Japonesa e Delivery,Hokkaido | Comida Japonesa e Delivery,4.6,698,+55 31 3286-4020,https://www.hokkaido.com.br/,Restaurante japonês,JAPONÊS,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Minas%20Burguer%20BH&query_place_id=ChIJ93piVXKRpgARjLEZmTjLUtM,Minas Burguer BH,Minas Burguer BH,Minas Burguer BH,4.8,601,+55 31 97189-4653,,Hamburgueria,BURGER,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Indian%20Gourmet&query_place_id=ChIJaWFR22GXpgAR6bZ2nKSQFjE,Indian Gourmet,Indian Gourmet,Indian Gourmet,4.7,598,+55 31 2555-9005,https://instagram.com/indian_gourmet?utm_source=ig_profile_share&igshid=zkctibqlokr5,Restaurante indiano,,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Bar%20do%20Toninho&query_place_id=ChIJ14beCLuZpgARnNLBzpp1CQs,Bar do Toninho,Bar do Toninho,Bar do Toninho,4.7,570,+55 31 99157-9799,http://www.instagram.com/bardotoninhoarabe/,Restaurante do Oriente Médio,,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Juicy%20Burger%20Shop%20BH&query_place_id=ChIJGy67l-qZpgAR_IijaVNtrQU,Juicy Burger Shop BH,Juicy Burger Shop BH,Juicy Burger Shop BH,4.5,566,+55 31 99245-1582,https://oia.99app.com/dlp9/mOTyTN?area=BR,Hamburgueria,BURGER,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Marmitaria%20BH&query_place_id=ChIJyc1MFROXpgAR6CQifny1Q34,Marmitaria BH,Marmitaria BH,Marmitaria BH,4.2,550,+55 31 3201-1893,http://www.marmitariabh.com.br/,Delivery,MARMITA,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Ferris%20Burger&query_place_id=ChIJE7Igt6OZpgAR030CkgL6yoo,Ferris Burger,Ferris Burger,Ferris Burger,4.7,541,+55 31 99598-4609,https://www.instagram.com/ferrisburger/,Hamburgueria,BURGER,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Shitake%20Restaurante%20Japon%C3%AAs%20Belo%20Horizonte&query_place_id=ChIJQ-by2WGXpgARRJylo8FgyK8,Shitake Restaurante Japonês Belo Horizonte,Shitake Restaurante Japonês Belo Horizonte,Shitake Restaurante Japonês Belo Horizonte,4.3,501,+55 31 3568-5832,http://www.shitakebh.com.br/,Restaurante japonês,JAPONÊS,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Emp%C3%B3rio%20S%C3%ADrio%20Liban%C3%AAs&query_place_id=ChIJy_rcuPWZpgARMHMdbYb8v_s,Empório Sírio Libanês,Empório Sírio Libanês,Empório Sírio Libanês,4.6,498,+55 31 2512-8877,https://www.instagram.com/emporiosiriofloresta/?hl=en,Restaurante árabe,,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20PRUDENTE%20DE%20MORAIS&query_place_id=ChIJK8xtpniXpgARm6SEzqv1GFw,VILA ARABE - PRUDENTE DE MORAIS,VILA ARABE - PRUDENTE DE MORAIS,VILA ARABE - PRUDENTE DE MORAIS,4.3,485,+55 31 3166-8646,https://www.vilaarabe.com.br/,Lanchonete,,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Casa%20Da%20Pizza%20BH&query_place_id=ChIJAQCma-GZpgARtkBrHjIM41I,Casa Da Pizza BH,Casa Da Pizza BH,Casa Da Pizza BH,4.4,444,+55 31 3789-0401,https://www.instagram.com/casadapizzabh/,Pizzaria,PIZZA,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Kame%20Sushi%20Restaurante%20%26%20Delivery&query_place_id=ChIJH-9Z87ebpgARqxgB7act0Rc,Kame Sushi Restaurante & Delivery,Kame Sushi Restaurante & Delivery,Kame Sushi Restaurante & Delivery,4.7,420,+55 31 3234-2120,https://linktr.ee/kamesushibh,Restaurante japonês,JAPONÊS,B,Belo Horizonte
https://www.google.com/maps/search/?api=1&query=Charles%20Burguer&query_place_id=ChIJuYYFgZCXpgART2tTWLRXsoM,Charles Burguer,Charles Burguer,Charles Burguer,4.7,403,+55 31 2510-8319,,Hamburgueria,BURGER,B,Belo Horizonte
