titulo,tag,faixa,cidade,categoria,nota,avaliacoes,telefone,site,instagram,email,endereco,bairro,maps_url
Bendito Japa – Rodízio Japonês Premium | Lourdes BH,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.5,2582,+55 31 3141-2444,http://benditojapaoficial.com/,,,"Av. Olegário Maciel, 1801 - Lourdes, Belo Horizonte - MG, 30180-117, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Bendito%20Japa%20%E2%80%93%20Rod%C3%ADzio%20Japon%C3%AAs%20Premium%20%7C%20Lourdes%20BH&query_place_id=ChIJe70jzsWXpgAREW0HImUn5Ws
Domenico Pizzeria e Trattoria,PIZZA,A,Belo Horizonte,Restaurante italiano,4.6,2547,+55 31 3565-8385,http://domenicopizzeria.com.br/,http://instagram.com/domenicobh,,"R. Cláudio Manoel, 583 - Savassi, Belo Horizonte - MG, 30140-100, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Domenico%20Pizzeria%20e%20Trattoria&query_place_id=ChIJ6__XtMOZpgARQ_9FypjhjrY
Sushi Naka,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.5,2394,+55 31 3287-2714,http://instagram.com/sushinakabh,https://instagram.com/sushinakabh,,"Av. Afonso Pena, 2828 - Savassi, Belo Horizonte - MG, 30130-007, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Sushi%20Naka&query_place_id=ChIJuSeIF8CZpgAR3Xr5f79hUeg
Second House - Pizzaria,PIZZA,A,Belo Horizonte,Pizzaria,4.8,2240,+55 31 97199-4445,https://thesecondhouse.saipos.com/home,,,"R. Barão de Macaúbas, 109 - Santo Antônio, Belo Horizonte - MG, 30350-090, Brasil",Santo Antônio,https://www.google.com/maps/search/?api=1&query=Second%20House%20-%20Pizzaria&query_place_id=ChIJaYKrZFCXpgARoYbOvB4RZ9w
Dona Fulô | BH,,A,Belo Horizonte,Restaurante,4.8,2205,+55 31 2516-8973,,,,"R. Santa Catarina, 778 - Lourdes, Belo Horizonte - MG, 30170-081, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Dona%20Ful%C3%B4%20%7C%20BH&query_place_id=ChIJn0Z1Ft6XpgAR411-DAp0SQo
The Black Beef - Savassi,BURGER,A,Belo Horizonte,Hamburgueria,4.3,2067,+55 31 3141-5552,https://theblackbeef.com.br/unidades/salvador-shopping-paralela-11-3/,,,"R. Paraíba, 845 - Savassi, Belo Horizonte - MG, 30140-131, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=The%20Black%20Beef%20-%20Savassi&query_place_id=ChIJz_Kj_9mZpgARD5sJQbKVl7w
Wanted Hamburgueria Artesanal - Palmares,BURGER,A,Belo Horizonte,Hamburgueria,4.6,2066,+55 31 3653-4895,http://www.instagram.com/wantedhamburgueria,https://www.instagram.com/wantedhamburgueria,,"Rua Jorge Angel Livraga, 35 - Palmares, Belo Horizonte - MG, 31155-420, Brasil",Palmares,https://www.google.com/maps/search/?api=1&query=Wanted%20Hamburgueria%20Artesanal%20-%20Palmares&query_place_id=ChIJybCi-HWQpgAR1iglpYzLbsE
Kanpai Sion | Comida Japonesa | Rodízio de Sushi BH,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.6,1930,+55 31 99858-2666,https://linktr.ee/kanpai.lourdes,,,"Rua Pium-Í, 1122 - Cruzeiro, Belo Horizonte - MG, 30310-080, Brasil",Cruzeiro,https://www.google.com/maps/search/?api=1&query=Kanpai%20Sion%20%7C%20Comida%20Japonesa%20%7C%20Rod%C3%ADzio%20de%20Sushi%20BH&query_place_id=ChIJUzaf6MyZpgARFvAXHsCp92o
Pomodori Pizza,PIZZA,A,Belo Horizonte,Pizzaria,4.4,1856,+55 31 3281-9299,https://pomodori-savassi.goomer.app/,,,"R. Paraíba, 1356 - Savassi, Belo Horizonte - MG, 30130-141, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Pomodori%20Pizza&query_place_id=ChIJv9KusdqZpgARH0pb5kx0KAY
Pizza Pezzi - Augusto de Lima,PIZZA,A,Belo Horizonte,Pizzaria,4.7,1811,+55 31 3222-7272,http://www.pizzapezzi.com.br/,https://instagram.com/pizzapezzibh,,"Av. Augusto de Lima, 315 - Centro, Belo Horizonte - MG, 30190-000, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Pizza%20Pezzi%20-%20Augusto%20de%20Lima&query_place_id=ChIJSZHyAOSZpgARSBvpkiwlPvc
Foraster Burguer,BURGER,A,Belo Horizonte,Hamburgueria,4.9,1743,+55 31 3146-6776,https://forasterburguer.com.br/,https://www.instagram.com/forasterburguer,,"Rua Dr. Júlio Otaviano Ferreira, 615 - Cidade Nova, Belo Horizonte - MG, 31170-200, Brasil",Cidade Nova,https://www.google.com/maps/search/?api=1&query=Foraster%20Burguer&query_place_id=ChIJQ1r1Iy-bpgART0bCgbZHsPk
Popolare Pizza Lourdes,PIZZA,A,Belo Horizonte,Restaurante italiano,4.9,1704,+55 31 99681-9163,https://www.instagram.com/popolarepizza/,https://www.instagram.com/popolarepizza/,,"Av. Álvares Cabral, 1327 - Lourdes, Belo Horizonte - MG, 30170-004, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Popolare%20Pizza%20Lourdes&query_place_id=ChIJg5SwRr-XpgARsSUNGVWFLFc
Pizzaria Olegário Pátio,PIZZA,A,Belo Horizonte,Pizzaria,4.5,1660,+55 31 3317-2020,http://pizzariaolegario.com.br/,https://www.instagram.com/pizzariaolegario,ge.mkt@redegourmet.com.br,"R. Lavras, 150 - São Pedro, Belo Horizonte - MG, 30330-010, Brasil",São Pedro,https://www.google.com/maps/search/?api=1&query=Pizzaria%20Oleg%C3%A1rio%20P%C3%A1tio&query_place_id=ChIJJZ0VOdCZpgARqV-MhAa9oTI
Black Burger Artesanal,BURGER,A,Belo Horizonte,Hamburgueria,4.5,1589,+55 31 2515-2004,https://instadelivery.com.br/blackburgerartesanal,,,"Av. Francisco Sá - Prado, Belo Horizonte - MG, 30410-060, Brasil",Prado,https://www.google.com/maps/search/?api=1&query=Black%20Burger%20Artesanal&query_place_id=ChIJe0dQbWqXpgARRA6bFN9HB7Y
Santa Pizza BH,PIZZA,A,Belo Horizonte,Pizzaria,4.5,1410,+55 31 98327-0942,,,,"R. Santo Agostinho, 1069 - Sagrada Família, Belo Horizonte - MG, 31035-480, Brasil",Sagrada Família,https://www.google.com/maps/search/?api=1&query=Santa%20Pizza%20BH&query_place_id=ChIJn8nJACyapgARq4d0B_DdCbo
Auguri Pizzaria,PIZZA,A,Belo Horizonte,Pizzaria,4.6,1367,+55 31 3047-1004,,,,"R. Alabastro, 50 - Santa Tereza, Belo Horizonte - MG, 31015-068, Brasil",Santa Tereza,https://www.google.com/maps/search/?api=1&query=Auguri%20Pizzaria&query_place_id=ChIJq1P-miOapgARRRHoduPyTFw
Olegário Jardins,PIZZA,A,Belo Horizonte,Pizzaria,4.4,1302,+55 31 2531-5425,http://pizzariaolegario.com.br/,https://www.instagram.com/pizzariaolegario,ge.mkt@redegourmet.com.br,"Av. Prudente de Morais, 520 - Cidade Jardim, Belo Horizonte - MG, 30380-002, Brasil",Cidade Jardim,https://www.google.com/maps/search/?api=1&query=Oleg%C3%A1rio%20Jardins&query_place_id=ChIJJevjq36XpgARbN1CckUymPM
Villagium Burgueria Artesanal,BURGER,A,Belo Horizonte,Hamburgueria,4.6,1273,+55 31 3646-0446,http://www.instagram.com/villagium,https://www.instagram.com/villagium,,"Av. Clara Nunes, 114 - Loja 02 - Renascença, Belo Horizonte - MG, 31130-680, Brasil",Renascença,https://www.google.com/maps/search/?api=1&query=Villagium%20Burgueria%20Artesanal&query_place_id=ChIJE0NZ9XqapgARxIzc9tkXa8Q
VILA ARABE - SANTA EFIGENIA,,A,Belo Horizonte,Lanchonete,4.3,1127,+55 31 3225-1872,http://vilaarabe.com.br/,https://www.instagram.com/vilaarabe,contato@vilaarabe.com,"Av. do Contorno, 3920 - Santa Efigênia, Belo Horizonte - MG, 30110-002, Brasil",Santa Efigênia,https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20SANTA%20EFIGENIA&query_place_id=ChIJN5ZyvZOZpgARbQHRwq2XSxg
Tatame Comida Japonesa,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.5,1108,+55 31 3227-2069,https://www.instagram.com/restaurantetatame?igsh=ajhoa25lenl4NzNj,,,"R. Grão Mogol, 872 - Sion, Belo Horizonte - MG, 30310-010, Brasil",Sion,https://www.google.com/maps/search/?api=1&query=Tatame%20Comida%20Japonesa&query_place_id=ChIJvaNpfc2ZpgARKIkDfYda_j0
Sushi Up! Alberto Cintra,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.6,1082,+55 31 99714-2469,https://www.instagram.com/sushiupdelivery/,https://www.instagram.com/sushiupdelivery/,,"R. Alberto Cintra, 210 - Lj 05 - União, Belo Horizonte - MG, 31160-370, Brasil",União,https://www.google.com/maps/search/?api=1&query=Sushi%20Up!%20Alberto%20Cintra&query_place_id=ChIJ3R2k1jabpgARcpsc3yXn8p0
Sushi Up! Serra,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.4,1043,+55 31 97129-6448,https://www.instagram.com/sushiupdelivery/,https://www.instagram.com/sushiupdelivery/,,"R. do Ouro, 395 - Lj 1 - Serra, Belo Horizonte - MG, 30220-000, Brasil",Serra,https://www.google.com/maps/search/?api=1&query=Sushi%20Up!%20Serra&query_place_id=ChIJvQcQxr-ZpgARpD3KmpAF8yY
Kei Cozinha Japonesa,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.5,877,+55 31 2555-9090,,,,"R. Bárbara Heliodora, 54 - Lourdes, Belo Horizonte - MG, 30180-130, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Kei%20Cozinha%20Japonesa&query_place_id=ChIJa-Qn8GGXpgAR6lIzr_X8x_E
Satoru Cozinha Oriental,JAPONÊS,A,Belo Horizonte,Restaurante japonês,4.3,851,+55 31 99531-4988,https://www.instagram.com/satorucozinhaoriental/,https://www.instagram.com/satorucozinhaoriental/,,"Av. Silva Lobo, 1350 - Grajaú, Belo Horizonte - MG, 30431-262, Brasil",Grajaú,https://www.google.com/maps/search/?api=1&query=Satoru%20Cozinha%20Oriental&query_place_id=ChIJ00w0z6SXpgARaWT3vMqRQ3A
Tchambows Burger,BURGER,A,Belo Horizonte,Hamburgueria,4.6,812,+55 31 3327-0481,,,,"R. Firmino Costa, 23 - Jardim Montanhês, Belo Horizonte - MG, 30750-050, Brasil",Jardim Montanhês,https://www.google.com/maps/search/?api=1&query=Tchambows%20Burger&query_place_id=ChIJHXDd6ieXpgARdBvBz_KQEM8
Hokkaido | Comida Japonesa e Delivery,JAPONÊS,B,Belo Horizonte,Restaurante japonês,4.6,698,+55 31 3286-4020,https://www.hokkaido.com.br/,https://www.instagram.com/restaurantehokkaidobh,,"BR-356, 2500 - Loja R03 - Santa Lúcia, Belo Horizonte - MG, 30320-901, Brasil",Santa Lúcia,https://www.google.com/maps/search/?api=1&query=Hokkaido%20%7C%20Comida%20Japonesa%20e%20Delivery&query_place_id=ChIJ38giWCyZpgAROhUjfO-xfTc
Minas Burguer BH,BURGER,B,Belo Horizonte,Hamburgueria,4.8,601,+55 31 97189-4653,,,,"R. Itapetinga, 1179 - Cachoeirinha, Belo Horizonte - MG, 31130-192, Brasil",Cachoeirinha,https://www.google.com/maps/search/?api=1&query=Minas%20Burguer%20BH&query_place_id=ChIJ93piVXKRpgARjLEZmTjLUtM
Indian Gourmet,,B,Belo Horizonte,Restaurante indiano,4.7,598,+55 31 2555-9005,https://instagram.com/indian_gourmet?utm_source=ig_profile_share&igshid=zkctibqlokr5,,,"R. Alvarenga Peixoto, 585 - Lourdes, Belo Horizonte - MG, 30180-124, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Indian%20Gourmet&query_place_id=ChIJaWFR22GXpgAR6bZ2nKSQFjE
Bar do Toninho,,B,Belo Horizonte,Restaurante do Oriente Médio,4.7,570,+55 31 99157-9799,http://www.instagram.com/bardotoninhoarabe/,https://www.instagram.com/bardotoninhoarabe/,,"R. Níquel, 246 - Serra, Belo Horizonte - MG, 30220-280, Brasil",Serra,https://www.google.com/maps/search/?api=1&query=Bar%20do%20Toninho&query_place_id=ChIJ14beCLuZpgARnNLBzpp1CQs
Juicy Burger Shop BH,BURGER,B,Belo Horizonte,Hamburgueria,4.5,566,+55 31 99245-1582,https://oia.99app.com/dlp9/mOTyTN?area=BR,,,"Rua dos Guajajaras, 847 - Lourdes, Belo Horizonte - MG, 30180-105, Brasil",Lourdes,https://www.google.com/maps/search/?api=1&query=Juicy%20Burger%20Shop%20BH&query_place_id=ChIJGy67l-qZpgAR_IijaVNtrQU
Marmitaria BH,MARMITA,B,Belo Horizonte,Delivery,4.2,550,+55 31 3201-1893,http://www.marmitariabh.com.br/,,,"Zap (61 - 99671.0866Av. Amazonas, 1909 - Centro, Belo Horizonte - MG, 30180-001, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Marmitaria%20BH&query_place_id=ChIJyc1MFROXpgAR6CQifny1Q34
Ferris Burger,BURGER,B,Belo Horizonte,Hamburgueria,4.7,541,+55 31 99598-4609,https://www.instagram.com/ferrisburger/,https://www.instagram.com/ferrisburger/,,"Rua dos Inconfidentes, 615 - Savassi, Belo Horizonte - MG, 30140-120, Brasil",Savassi,https://www.google.com/maps/search/?api=1&query=Ferris%20Burger&query_place_id=ChIJE7Igt6OZpgAR030CkgL6yoo
Shitake Restaurante Japonês Belo Horizonte,JAPONÊS,B,Belo Horizonte,Restaurante japonês,4.3,501,+55 31 3568-5832,http://www.shitakebh.com.br/,,,"Av. dos Bandeirantes, 1678 - Mangabeiras, Belo Horizonte - MG, 30315-032, Brasil",Mangabeiras,https://www.google.com/maps/search/?api=1&query=Shitake%20Restaurante%20Japon%C3%AAs%20Belo%20Horizonte&query_place_id=ChIJQ-by2WGXpgARRJylo8FgyK8
Empório Sírio Libanês,,B,Belo Horizonte,Restaurante árabe,4.6,498,+55 31 2512-8877,https://www.instagram.com/emporiosiriofloresta/?hl=en,https://www.instagram.com/emporiosiriofloresta/?hl=en,,"Av. do Contorno, 1722 - Floresta, Belo Horizonte - MG, 30110-017, Brasil",Floresta,https://www.google.com/maps/search/?api=1&query=Emp%C3%B3rio%20S%C3%ADrio%20Liban%C3%AAs&query_place_id=ChIJy_rcuPWZpgARMHMdbYb8v_s
VILA ARABE - PRUDENTE DE MORAIS,,B,Belo Horizonte,Lanchonete,4.3,485,+55 31 3166-8646,https://www.vilaarabe.com.br/,https://www.instagram.com/vilaarabe,contato@vilaarabe.com,"Av. Prudente de Morais, 1018 - Lj 1014 - Coracao de Jesus, Belo Horizonte - MG, 30380-002, Brasil",Coracao de Jesus,https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20PRUDENTE%20DE%20MORAIS&query_place_id=ChIJK8xtpniXpgARm6SEzqv1GFw
Casa Da Pizza BH,PIZZA,B,Belo Horizonte,Pizzaria,4.4,444,+55 31 3789-0401,https://www.instagram.com/casadapizzabh/,https://www.instagram.com/casadapizzabh/,,"R. Rio de Janeiro, 1226 - Centro, Belo Horizonte - MG, 30160-043, Brasil",Centro,https://www.google.com/maps/search/?api=1&query=Casa%20Da%20Pizza%20BH&query_place_id=ChIJAQCma-GZpgARtkBrHjIM41I
Kame Sushi Restaurante & Delivery,JAPONÊS,B,Belo Horizonte,Restaurante japonês,4.7,420,+55 31 3234-2120,https://linktr.ee/kamesushibh,,,"Av. Itaité, 412 - São Geraldo, Belo Horizonte - MG, 31050-550, Brasil",São Geraldo,https://www.google.com/maps/search/?api=1&query=Kame%20Sushi%20Restaurante%20%26%20Delivery&query_place_id=ChIJH-9Z87ebpgARqxgB7act0Rc
