Maps,Lead Título,Nome da empresa,Nome,Nota,Numero de avaliações,telefone com DDD,site,Nicho,Tag
https://www.google.com/maps/search/?api=1&query=Meatz%20Burger%20-%20Cidade%20Nova%20-%20Hamburgueria&query_place_id=ChIJR0IZDdObpgAR7X7ZL0BJNJo,Meatz Burger - Cidade Nova - Hamburgueria,Meatz Burger - Cidade Nova - Hamburgueria,Meatz Burger - Cidade Nova - Hamburgueria,4.9,5061,+55 31 98403-9989,https://meatzburger.com/unidades/hamburgueria-cidade-nova-bh-mg/,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Nuboa%20Sushi%20-%20Restaurante%20e%20Comida%20Japonesa%20em%20BH&query_place_id=ChIJbQKn-r-RpgAR_mvYBJTWelI,Nuboa Sushi - Restaurante e Comida Japonesa em BH,Nuboa Sushi - Restaurante e Comida Japonesa em BH,Nuboa Sushi - Restaurante e Comida Japonesa em BH,4.6,4860,+55 31 99995-4004,https://nuboasushi.com.br/,Restaurante japonês,PIZZA
https://www.google.com/maps/search/?api=1&query=Gastr%C3%B4%20Hub%20-%20Restaurante%20e%20Espa%C3%A7o%20de%20Eventos&query_place_id=ChIJwRm9mo-ZpgAR-1v7Uj_uiMA,Gastrô Hub - Restaurante e Espaço de Eventos,Gastrô Hub - Restaurante e Espaço de Eventos,Gastrô Hub - Restaurante e Espaço de Eventos,4.8,4644,+55 31 2527-5858,https://www.instagram.com/gastrohub.bh/?hl=pt-br,Restaurante,
https://www.google.com/maps/search/?api=1&query=Cantina%20do%20Lucas&query_place_id=ChIJ280vAeSZpgARUkOpIqaZtv8,Cantina do Lucas,Cantina do Lucas,Cantina do Lucas,4.5,4397,+55 31 3226-7153,http://www.cantinadolucas.com.br/,Restaurante,
https://www.google.com/maps/search/?api=1&query=Eddie%20Fine%20Burgers&query_place_id=ChIJlfq0f9eZpgAR7nWszwwFoKI,Eddie Fine Burgers,Eddie Fine Burgers,Eddie Fine Burgers,4.3,4329,+55 31 3282-4606,http://www.eddieburger.com.br/,Restaurante,BURGER
https://www.google.com/maps/search/?api=1&query=Biggs%20Lanches%20e%20Refei%C3%A7%C3%B5es%20-%20Centro&query_place_id=ChIJS-Ju1l5D65QRjHLokBcdgtg,Biggs Lanches e Refeições - Centro,Biggs Lanches e Refeições - Centro,Biggs Lanches e Refeições - Centro,4.6,3764,+55 43 3337-4000,http://www.biggs.com.br/,Lanchonete,BURGER
https://www.google.com/maps/search/?api=1&query=Meatz%20Burger%20-%20Centro%20Sul%20-%20Hamburgueria&query_place_id=ChIJ5Xn1sn2XpgAR9EjE-hO8480,Meatz Burger - Centro Sul - Hamburgueria,Meatz Burger - Centro Sul - Hamburgueria,Meatz Burger - Centro Sul - Hamburgueria,4.6,3729,+55 31 98358-4780,https://meatzburger.com/unidades/hamburgueria-centro-sul-bh/,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Dona%20Lucinha%20Restaurante&query_place_id=ChIJi4uTZNCZpgAR6xrAuwWhPu8,Dona Lucinha Restaurante,Dona Lucinha Restaurante,Dona Lucinha Restaurante,4.4,3635,+55 31 2127-0788,https://www.donalucinha.com.br/,Restaurante Mineiro,
https://www.google.com/maps/search/?api=1&query=Dal%20Grano%20Restaurante%20e%20Pizzaria&query_place_id=ChIJz4U3-MWRpgARZ7RXLLttMk0,Dal Grano Restaurante e Pizzaria,Dal Grano Restaurante e Pizzaria,Dal Grano Restaurante e Pizzaria,4.7,3554,+55 31 3505-9240,,Restaurante italiano,PIZZA
https://www.google.com/maps/search/?api=1&query=Macau&query_place_id=ChIJp3RBGmGXpgARTZWueitaSRE,Macau,Macau,Macau,4.6,3477,+55 31 3337-6193,http://macaudelivery.com.br/,Restaurante chinês,
https://www.google.com/maps/search/?api=1&query=Pizzaria%20Mangabeiras%20Matriz&query_place_id=ChIJGS7g7YuZpgAR5CGYRbA8xWA,Pizzaria Mangabeiras Matriz,Pizzaria Mangabeiras Matriz,Pizzaria Mangabeiras Matriz,4.4,3399,+55 31 3211-1777,https://pizzariamangabeiras.com.br/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=68%20La%20Pizzeria&query_place_id=ChIJB8up9diZpgARxZ4yntRWMqw,68 La Pizzeria,68 La Pizzeria,68 La Pizzeria,4.4,3396,+55 31 3292-0208,http://www.meiaoito.com.br/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=James%20Burger%20-%20Hamb%C3%BArguer%20Artesanal%20na%20Savassi%20%7C%20Delivery%20de%20Hamb%C3%BArguer%20%7C%20Hamburgueria%20Perto%20de%20Voc%C3%AA%20%7C%20Hamburgueria%20em%20BH&query_place_id=ChIJVyv0t9uZpgAR2bSVTuVvOZ0,James Burger - Hambúrguer Artesanal na Savassi | Delivery de Hambúrguer | Hamburgueria Perto de Você | Hamburgueria em BH,James Burger - Hambúrguer Artesanal na Savassi | Delivery de Hambúrguer | Hamburgueria Perto de Você | Hamburgueria em BH,James Burger - Hambúrguer Artesanal na Savassi | Delivery de Hambúrguer | Hamburgueria Perto de Você | Hamburgueria em BH,4.6,3092,+55 31 99299-1800,http://www.jamesburguerbh.com.br/,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Projeto%20Sabor%20S%C3%A3o%20Bento&query_place_id=ChIJPdBYEo-XpgARFF0xZPCGI_o,Projeto Sabor São Bento,Projeto Sabor São Bento,Projeto Sabor São Bento,4.6,3073,+55 31 3342-1373,https://www.projetosabor.com.br/,Restaurante,
https://www.google.com/maps/search/?api=1&query=Pizzaria%20Oleg%C3%A1rio%20Lourdes&query_place_id=ChIJW64AGWGXpgARsOQRS5wkQjA,Pizzaria Olegário Lourdes,Pizzaria Olegário Lourdes,Pizzaria Olegário Lourdes,4.5,3053,+55 31 3337-4446,http://pizzariaolegario.com.br/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20SAVASSI&query_place_id=ChIJi79vytyZpgARJvHZAh9q9DY,VILA ARABE - SAVASSI,VILA ARABE - SAVASSI,VILA ARABE - SAVASSI,4.5,2774,+55 31 3262-1600,http://www.vilaarabe.com.br/,Restaurante libanês,
https://www.google.com/maps/search/?api=1&query=Mustache%20Pizzaria%20no%20Lourdes&query_place_id=ChIJUaGuE-GZpgARSigq9hINDm8,Mustache Pizzaria no Lourdes,Mustache Pizzaria no Lourdes,Mustache Pizzaria no Lourdes,4.5,2656,+55 31 3245-7001,https://beacons.ai/mustachehandpizzabh,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Pop%20Kid&query_place_id=ChIJnz4fquSZpgAR6Vc8uEQ_xI0,Pop Kid,Pop Kid,Pop Kid,4.7,2599,+55 31 3080-3715,https://popkidbar.com.br/,Bar,
https://www.google.com/maps/search/?api=1&query=Bendito%20Japa%20%E2%80%93%20Rod%C3%ADzio%20Japon%C3%AAs%20Premium%20%7C%20Lourdes%20BH&query_place_id=ChIJe70jzsWXpgAREW0HImUn5Ws,Bendito Japa – Rodízio Japonês Premium | Lourdes BH,Bendito Japa – Rodízio Japonês Premium | Lourdes BH,Bendito Japa – Rodízio Japonês Premium | Lourdes BH,4.5,2582,+55 31 3141-2444,http://benditojapaoficial.com/,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Domenico%20Pizzeria%20e%20Trattoria&query_place_id=ChIJ6__XtMOZpgARQ_9FypjhjrY,Domenico Pizzeria e Trattoria,Domenico Pizzeria e Trattoria,Domenico Pizzeria e Trattoria,4.6,2547,+55 31 3565-8385,http://domenicopizzeria.com.br/,Restaurante italiano,PIZZA
https://www.google.com/maps/search/?api=1&query=Sushi%20Naka&query_place_id=ChIJuSeIF8CZpgAR3Xr5f79hUeg,Sushi Naka,Sushi Naka,Sushi Naka,4.5,2394,+55 31 3287-2714,http://instagram.com/sushinakabh,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Second%20House%20-%20Pizzaria&query_place_id=ChIJaYKrZFCXpgARoYbOvB4RZ9w,Second House - Pizzaria,Second House - Pizzaria,Second House - Pizzaria,4.8,2240,+55 31 97199-4445,https://thesecondhouse.saipos.com/home,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Dona%20Ful%C3%B4%20%7C%20BH&query_place_id=ChIJn0Z1Ft6XpgAR411-DAp0SQo,Dona Fulô | BH,Dona Fulô | BH,Dona Fulô | BH,4.8,2205,+55 31 2516-8973,,Restaurante,
https://www.google.com/maps/search/?api=1&query=The%20Black%20Beef%20-%20Savassi&query_place_id=ChIJz_Kj_9mZpgARD5sJQbKVl7w,The Black Beef - Savassi,The Black Beef - Savassi,The Black Beef - Savassi,4.3,2067,+55 31 3141-5552,https://theblackbeef.com.br/unidades/salvador-shopping-paralela-11-3/,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Wanted%20Hamburgueria%20Artesanal%20-%20Palmares&query_place_id=ChIJybCi-HWQpgAR1iglpYzLbsE,Wanted Hamburgueria Artesanal - Palmares,Wanted Hamburgueria Artesanal - Palmares,Wanted Hamburgueria Artesanal - Palmares,4.6,2066,+55 31 3653-4895,http://www.instagram.com/wantedhamburgueria,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Kanpai%20Sion%20%7C%20Comida%20Japonesa%20%7C%20Rod%C3%ADzio%20de%20Sushi%20BH&query_place_id=ChIJUzaf6MyZpgARFvAXHsCp92o,Kanpai Sion | Comida Japonesa | Rodízio de Sushi BH,Kanpai Sion | Comida Japonesa | Rodízio de Sushi BH,Kanpai Sion | Comida Japonesa | Rodízio de Sushi BH,4.6,1930,+55 31 99858-2666,https://linktr.ee/kanpai.lourdes,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Pomodori%20Pizza&query_place_id=ChIJv9KusdqZpgARH0pb5kx0KAY,Pomodori Pizza,Pomodori Pizza,Pomodori Pizza,4.4,1856,+55 31 3281-9299,https://pomodori-savassi.goomer.app/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Pizza%20Pezzi%20-%20Augusto%20de%20Lima&query_place_id=ChIJSZHyAOSZpgARSBvpkiwlPvc,Pizza Pezzi - Augusto de Lima,Pizza Pezzi - Augusto de Lima,Pizza Pezzi - Augusto de Lima,4.7,1811,+55 31 3222-7272,http://www.pizzapezzi.com.br/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Foraster%20Burguer&query_place_id=ChIJQ1r1Iy-bpgART0bCgbZHsPk,Foraster Burguer,Foraster Burguer,Foraster Burguer,4.9,1743,+55 31 3146-6776,https://forasterburguer.com.br/,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Popolare%20Pizza%20Lourdes&query_place_id=ChIJg5SwRr-XpgARsSUNGVWFLFc,Popolare Pizza Lourdes,Popolare Pizza Lourdes,Popolare Pizza Lourdes,4.9,1704,+55 31 99681-9163,https://www.instagram.com/popolarepizza/,Restaurante italiano,PIZZA
https://www.google.com/maps/search/?api=1&query=Pizzaria%20Oleg%C3%A1rio%20P%C3%A1tio&query_place_id=ChIJJZ0VOdCZpgARqV-MhAa9oTI,Pizzaria Olegário Pátio,Pizzaria Olegário Pátio,Pizzaria Olegário Pátio,4.5,1660,+55 31 3317-2020,http://pizzariaolegario.com.br/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Black%20Burger%20Artesanal&query_place_id=ChIJe0dQbWqXpgARRA6bFN9HB7Y,Black Burger Artesanal,Black Burger Artesanal,Black Burger Artesanal,4.5,1589,+55 31 2515-2004,https://instadelivery.com.br/blackburgerartesanal,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Santa%20Pizza%20BH&query_place_id=ChIJn8nJACyapgARq4d0B_DdCbo,Santa Pizza BH,Santa Pizza BH,Santa Pizza BH,4.5,1410,+55 31 98327-0942,,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Auguri%20Pizzaria&query_place_id=ChIJq1P-miOapgARRRHoduPyTFw,Auguri Pizzaria,Auguri Pizzaria,Auguri Pizzaria,4.6,1367,+55 31 3047-1004,,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Koala%20Sushi%20Ya&query_place_id=ChIJi7hyaV9D65QROrWMpZu3oa0,Koala Sushi Ya,Koala Sushi Ya,Koala Sushi Ya,4.6,1306,+55 43 3321-2700,https://koalasushiya.com.br/,Restaurante de sushi,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Oleg%C3%A1rio%20Jardins&query_place_id=ChIJJevjq36XpgARbN1CckUymPM,Olegário Jardins,Olegário Jardins,Olegário Jardins,4.4,1302,+55 31 2531-5425,http://pizzariaolegario.com.br/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Villagium%20Burgueria%20Artesanal&query_place_id=ChIJE0NZ9XqapgARxIzc9tkXa8Q,Villagium Burgueria Artesanal,Villagium Burgueria Artesanal,Villagium Burgueria Artesanal,4.6,1273,+55 31 3646-0446,http://www.instagram.com/villagium,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20SANTA%20EFIGENIA&query_place_id=ChIJN5ZyvZOZpgARbQHRwq2XSxg,VILA ARABE - SANTA EFIGENIA,VILA ARABE - SANTA EFIGENIA,VILA ARABE - SANTA EFIGENIA,4.3,1127,+55 31 3225-1872,http://vilaarabe.com.br/,Lanchonete,
https://www.google.com/maps/search/?api=1&query=Restaurante%20Minato&query_place_id=ChIJ9f4_IqVE65QRo91gXR6urNk,Restaurante Minato,Restaurante Minato,Restaurante Minato,4.6,1123,+55 43 3321-1652,https://www.ifood.com.br/delivery/londrina-pr/restaurante-minato-centro/5144f870-8026-40f3-8937-b3226345a3c7,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Tatame%20Comida%20Japonesa&query_place_id=ChIJvaNpfc2ZpgARKIkDfYda_j0,Tatame Comida Japonesa,Tatame Comida Japonesa,Tatame Comida Japonesa,4.5,1108,+55 31 3227-2069,https://www.instagram.com/restaurantetatame?igsh=ajhoa25lenl4NzNj,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Sushi%20Up!%20Alberto%20Cintra&query_place_id=ChIJ3R2k1jabpgARcpsc3yXn8p0,Sushi Up! Alberto Cintra,Sushi Up! Alberto Cintra,Sushi Up! Alberto Cintra,4.6,1082,+55 31 99714-2469,https://www.instagram.com/sushiupdelivery/,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Sushi%20Up!%20Serra&query_place_id=ChIJvQcQxr-ZpgARpD3KmpAF8yY,Sushi Up! Serra,Sushi Up! Serra,Sushi Up! Serra,4.4,1043,+55 31 97129-6448,https://www.instagram.com/sushiupdelivery/,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Kei%20Cozinha%20Japonesa&query_place_id=ChIJa-Qn8GGXpgAR6lIzr_X8x_E,Kei Cozinha Japonesa,Kei Cozinha Japonesa,Kei Cozinha Japonesa,4.5,877,+55 31 2555-9090,,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Satoru%20Cozinha%20Oriental&query_place_id=ChIJ00w0z6SXpgARaWT3vMqRQ3A,Satoru Cozinha Oriental,Satoru Cozinha Oriental,Satoru Cozinha Oriental,4.3,851,+55 31 99531-4988,https://www.instagram.com/satorucozinhaoriental/,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Tchambows%20Burger&query_place_id=ChIJHXDd6ieXpgARdBvBz_KQEM8,Tchambows Burger,Tchambows Burger,Tchambows Burger,4.6,812,+55 31 3327-0481,,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Hokkaido%20%7C%20Comida%20Japonesa%20e%20Delivery&query_place_id=ChIJ38giWCyZpgAROhUjfO-xfTc,Hokkaido | Comida Japonesa e Delivery,Hokkaido | Comida Japonesa e Delivery,Hokkaido | Comida Japonesa e Delivery,4.6,698,+55 31 3286-4020,https://www.hokkaido.com.br/,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Minas%20Burguer%20BH&query_place_id=ChIJ93piVXKRpgARjLEZmTjLUtM,Minas Burguer BH,Minas Burguer BH,Minas Burguer BH,4.8,601,+55 31 97189-4653,,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Indian%20Gourmet&query_place_id=ChIJaWFR22GXpgAR6bZ2nKSQFjE,Indian Gourmet,Indian Gourmet,Indian Gourmet,4.7,598,+55 31 2555-9005,https://instagram.com/indian_gourmet?utm_source=ig_profile_share&igshid=zkctibqlokr5,Restaurante indiano,
https://www.google.com/maps/search/?api=1&query=Restaurante%20Moenda%20Calamares%20Cambori%C3%BA&query_place_id=ChIJoW1ILq632JQRelEhNchO1o8,Restaurante Moenda Calamares Camboriú,Restaurante Moenda Calamares Camboriú,Restaurante Moenda Calamares Camboriú,4.6,583,+55 47 99967-5606,https://www.camboriubalneario.com/empresa/286/camboriu/alimentacao/restaurante-moenda-calamares-camboriu.html,Restaurante,
https://www.google.com/maps/search/?api=1&query=Bar%20do%20Toninho&query_place_id=ChIJ14beCLuZpgARnNLBzpp1CQs,Bar do Toninho,Bar do Toninho,Bar do Toninho,4.7,570,+55 31 99157-9799,http://www.instagram.com/bardotoninhoarabe/,Restaurante do Oriente Médio,
https://www.google.com/maps/search/?api=1&query=Juicy%20Burger%20Shop%20BH&query_place_id=ChIJGy67l-qZpgAR_IijaVNtrQU,Juicy Burger Shop BH,Juicy Burger Shop BH,Juicy Burger Shop BH,4.5,566,+55 31 99245-1582,https://oia.99app.com/dlp9/mOTyTN?area=BR,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Marmitaria%20BH&query_place_id=ChIJyc1MFROXpgAR6CQifny1Q34,Marmitaria BH,Marmitaria BH,Marmitaria BH,4.2,550,+55 31 3201-1893,http://www.marmitariabh.com.br/,Delivery,MARMITA
https://www.google.com/maps/search/?api=1&query=Ferris%20Burger&query_place_id=ChIJE7Igt6OZpgAR030CkgL6yoo,Ferris Burger,Ferris Burger,Ferris Burger,4.7,541,+55 31 99598-4609,https://www.instagram.com/ferrisburger/,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Shitake%20Restaurante%20Japon%C3%AAs%20Belo%20Horizonte&query_place_id=ChIJQ-by2WGXpgARRJylo8FgyK8,Shitake Restaurante Japonês Belo Horizonte,Shitake Restaurante Japonês Belo Horizonte,Shitake Restaurante Japonês Belo Horizonte,4.3,501,+55 31 3568-5832,http://www.shitakebh.com.br/,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Restaurante%20Alecrim&query_place_id=ChIJzSx7pLJE65QRIaBT8SZdNW8,Restaurante Alecrim,Restaurante Alecrim,Restaurante Alecrim,4.6,501,+55 43 3029-6790,http://www.facebook.com/alecrim.londrina,Restaurante self-service,
https://www.google.com/maps/search/?api=1&query=Emp%C3%B3rio%20S%C3%ADrio%20Liban%C3%AAs&query_place_id=ChIJy_rcuPWZpgARMHMdbYb8v_s,Empório Sírio Libanês,Empório Sírio Libanês,Empório Sírio Libanês,4.6,498,+55 31 2512-8877,https://www.instagram.com/emporiosiriofloresta/?hl=en,Restaurante árabe,
https://www.google.com/maps/search/?api=1&query=La%20Brasa%20Burger%20Londrina&query_place_id=ChIJgyck5JxF65QRCeFjNVz4LxA,La Brasa Burger Londrina,La Brasa Burger Londrina,La Brasa Burger Londrina,4.8,495,+55 43 99617-4263,https://menu.brendi.com.br/la-brasa-burger-londrina,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=VILA%20ARABE%20-%20PRUDENTE%20DE%20MORAIS&query_place_id=ChIJK8xtpniXpgARm6SEzqv1GFw,VILA ARABE - PRUDENTE DE MORAIS,VILA ARABE - PRUDENTE DE MORAIS,VILA ARABE - PRUDENTE DE MORAIS,4.3,485,+55 31 3166-8646,https://www.vilaarabe.com.br/,Lanchonete,
https://www.google.com/maps/search/?api=1&query=Barolo%20-%20Ristorante%20e%20Pizzaria&query_place_id=ChIJq9J-BzRgrwcRbotq2gNz0d4,Barolo - Ristorante e Pizzaria,Barolo - Ristorante e Pizzaria,Barolo - Ristorante e Pizzaria,4.5,460,+55 83 3421-7545,,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Mr.Hadesh&query_place_id=ChIJQQFqL2xQpgARblbl13LLTKI,Mr.Hadesh,Mr.Hadesh,Mr.Hadesh,4.5,447,+55 31 3178-1246,,Restaurante,
https://www.google.com/maps/search/?api=1&query=Casa%20Da%20Pizza%20BH&query_place_id=ChIJAQCma-GZpgARtkBrHjIM41I,Casa Da Pizza BH,Casa Da Pizza BH,Casa Da Pizza BH,4.4,444,+55 31 3789-0401,https://www.instagram.com/casadapizzabh/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Batista%20Lanches%20e%20Pizzas&query_place_id=ChIJPweKnehZ65QRmdjrYYpQi2Y,Batista Lanches e Pizzas,Batista Lanches e Pizzas,Batista Lanches e Pizzas,4.2,424,+55 43 3251-9128,,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Kame%20Sushi%20Restaurante%20%26%20Delivery&query_place_id=ChIJH-9Z87ebpgARqxgB7act0Rc,Kame Sushi Restaurante & Delivery,Kame Sushi Restaurante & Delivery,Kame Sushi Restaurante & Delivery,4.7,420,+55 31 3234-2120,https://linktr.ee/kamesushibh,Restaurante japonês,JAPONÊS
https://www.google.com/maps/search/?api=1&query=Charles%20Burguer&query_place_id=ChIJuYYFgZCXpgART2tTWLRXsoM,Charles Burguer,Charles Burguer,Charles Burguer,4.7,403,+55 31 2510-8319,,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Restaurante%20Patota%20-%20Delivery%20de%20Comida&query_place_id=ChIJOe-56CWXpgARxwTE6O1m8kA,Restaurante Patota - Delivery de Comida,Restaurante Patota - Delivery de Comida,Restaurante Patota - Delivery de Comida,4.1,398,+55 31 3464-3914,https://www.ifood.com.br/delivery/belo-horizonte-mg/restaurante-patota-padre-eustaquio/5037ec69-4da8-4eb1-a8f9-1b7deb958e55,Delivery,
https://www.google.com/maps/search/?api=1&query=Zulma%20Gourmet%20Padaria&query_place_id=ChIJH6G8oK-gw5IRoWlXg5bBEVY,Zulma Gourmet Padaria,Zulma Gourmet Padaria,Zulma Gourmet Padaria,4.6,393,+55 94 99274-4455,,Padaria,
https://www.google.com/maps/search/?api=1&query=BH%20Burguer&query_place_id=ChIJG-jjZl6XpgARvwdOtDom94M,BH Burguer,BH Burguer,BH Burguer,4.2,381,+55 31 99216-6187,https://bhburguer.accon.app/,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Avenue%20Burger%20Shop&query_place_id=ChIJkS1O68GXpgAR1RlzGAUsuyQ,Avenue Burger Shop,Avenue Burger Shop,Avenue Burger Shop,4.7,380,+55 31 3245-3666,https://avenueburgershop.com.br/,Hamburgueria,BURGER
https://www.google.com/maps/search/?api=1&query=Ricardo%20Hamdan%20Cozinha%20%C3%81rabe&query_place_id=ChIJPS7Aq7ORpgARmSAzKD1yrJ4,Ricardo Hamdan Cozinha Árabe,Ricardo Hamdan Cozinha Árabe,Ricardo Hamdan Cozinha Árabe,4.6,373,+55 31 97171-5170,https://linktr.ee/ricardo_hamdan,Restaurante árabe,
https://www.google.com/maps/search/?api=1&query=Distrito%20Pizza%20Napoletana%20-%20Santa%20Tereza&query_place_id=ChIJZTa5hbibpgARPEIAq68PWQY,Distrito Pizza Napoletana - Santa Tereza,Distrito Pizza Napoletana - Santa Tereza,Distrito Pizza Napoletana - Santa Tereza,4.8,364,+55 31 3157-6657,https://distritopizza.com.br/,Pizzaria,PIZZA
https://www.google.com/maps/search/?api=1&query=Beco%20D'It%C3%A1lia&query_place_id=ChIJx2MztiGapgARwgpSGYmk1SU,Beco D'Itália,Beco D'Itália,Beco D'Itália,4.7,362,+55 31 99240-2325,https://becoditalia.com.br/,Restaurante italiano,
https://www.google.com/maps/search/?api=1&query=Restaurante%20Romeroeatts&query_place_id=ChIJK9iCuvST85QRHrmswJvMqvM,Restaurante Romeroeatts,Restaurante Romeroeatts,Restaurante Romeroeatts,4.5,351,+55 45 3251-1441,http://www.romeroeatts.com.br/,Pizzaria,PIZZA
