Maps,Lead Título,Nome da empresa,Nome,Nota,Numero de avaliações,telefone com DDD,site,Nicho
https://www.google.com/maps/search/?api=1&query=Chili%3A%20Ag%C3%AAncia%20de%20SEO%20e%20Marketing%20Digital%20S%C3%A3o%20Paulo&query_place_id=ChIJhR1jLM1ZzpQRFiDU_HGNRNs,Chili: Agência de SEO e Marketing Digital São Paulo,Chili: Agência de SEO e Marketing Digital São Paulo,Chili: Agência de SEO e Marketing Digital São Paulo,5,57,+55 11 3500-5967,https://www.chili.com.br/contato/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=%C3%81rea%20Comunica%C3%A7%C3%A3o%20Propaganda%20e%20Marketing&query_place_id=ChIJ2Wo7knhZzpQRqR9e2MOLDvQ,Área Comunicação Propaganda e Marketing,Área Comunicação Propaganda e Marketing,Área Comunicação Propaganda e Marketing,4.8,11,+55 11 5594-0288,http://www.naarea.com/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Zoom%20Propaganda&query_place_id=ChIJoQjtAlpezpQREv7xWrPgfsE,Zoom Propaganda,Zoom Propaganda,Zoom Propaganda,5,80,+55 11 2305-9663,https://zoompropaganda.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Gabriel%20Tr%C3%A1fego%20Pagos&query_place_id=ChIJ192r6TtnzpQRfclXAEKQUkk,Gabriel Tráfego Pagos,Gabriel Tráfego Pagos,Gabriel Tráfego Pagos,5,44,+55 11 98539-6768,https://www.gabrieltrafegopagos.site/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20de%20Tr%C3%A1fego%20Pago%20%7C%20Vit%C3%B3ria%20Marketing&query_place_id=ChIJq2GCWn4K1UER8JXYp2_enz0,Agência de Tráfego Pago | Vitória Marketing,Agência de Tráfego Pago | Vitória Marketing,Agência de Tráfego Pago | Vitória Marketing,5,42,+55 11 91617-8181,http://www.agenciavitoriasp.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=AG%C3%8ANCIA%20MILENAR%20DE%20PUBLICIDADE%20%26%20PROPAGANDA&query_place_id=ChIJj1t1riz_zpQRx3sUTzHpq7w,AGÊNCIA MILENAR DE PUBLICIDADE & PROPAGANDA,AGÊNCIA MILENAR DE PUBLICIDADE & PROPAGANDA,AGÊNCIA MILENAR DE PUBLICIDADE & PROPAGANDA,5,1,+55 11 93278-2206,,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20de%20Marketing%20Digital%20%7C%20Ag%C3%AAncia%20de%20Tr%C3%A1fego%20Pago%20I%20Gest%C3%A3o%20de%20Tr%C3%A1fego%20Pago%20I%20Cria%C3%A7%C3%A3o%20de%20Websites%20-%20No%20Morumbi&query_place_id=ChIJlRsDyoVRzpQRrd_rbcWO620,Agência de Marketing Digital | Agência de Tráfego Pago I Gestão de Tráfego Pago I Criação de Websites - No Morumbi,Agência de Marketing Digital | Agência de Tráfego Pago I Gestão de Tráfego Pago I Criação de Websites - No Morumbi,Agência de Marketing Digital | Agência de Tráfego Pago I Gestão de Tráfego Pago I Criação de Websites - No Morumbi,5,10,+55 11 95130-2722,https://agenciadetrafegopago.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=WebFormas%20Ag%C3%AAncia%20de%20Marketing%20Digital&query_place_id=ChIJ-5kotslVzpQRKpdbs1eLvPQ,WebFormas Agência de Marketing Digital,WebFormas Agência de Marketing Digital,WebFormas Agência de Marketing Digital,5,127,+55 11 2801-0067,http://www.webformas.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=AG%C3%8ANCIA%20TRAFEGOOL-%20TR%C3%81FEGO%2C%20M%C3%8DDIAS%20%26%20CIA&query_place_id=ChIJxfvyGTRfzpQRxVjDHNmfAxk,"AGÊNCIA TRAFEGOOL- TRÁFEGO, MÍDIAS & CIA","AGÊNCIA TRAFEGOOL- TRÁFEGO, MÍDIAS & CIA","AGÊNCIA TRAFEGOOL- TRÁFEGO, MÍDIAS & CIA",5,34,+55 11 93042-1682,http://www.trafegool.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Mg%20Publicidade&query_place_id=ChIJky1NMr1ZzpQRdyV8gZawgXQ,Mg Publicidade,Mg Publicidade,Mg Publicidade,4.9,56,+55 11 95954-5080,https://mgpubli.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=OBADigital&query_place_id=ChIJVfvhnCH4zpQRcVCI0sp2o9c,OBADigital,OBADigital,OBADigital,4.9,65,+55 11 94660-8494,http://www.obadigital.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=M.SEO%20Marketing%20%7C%20Ag%C3%AAncia%20de%20Marketing%20Digital%20em%20SP%20especializada%20em%20SEO&query_place_id=ChIJG8nYvG1XzpQRbF4_4XhM0nc,M.SEO Marketing | Agência de Marketing Digital em SP especializada em SEO,M.SEO Marketing | Agência de Marketing Digital em SP especializada em SEO,M.SEO Marketing | Agência de Marketing Digital em SP especializada em SEO,4.8,16,+55 11 96373-9580,https://agenciamseo.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Agencia%20de%20Marketing%20Digital&query_place_id=ChIJ7e5JEDxXzpQRXLM15-3uf7s,Agencia de Marketing Digital,Agencia de Marketing Digital,Agencia de Marketing Digital,4.7,13,,,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=JUNTA!%20-%20Ag%C3%AAncia%20de%20Tr%C3%A1fego%20Pago%20-%20S%C3%A3o%20Paulo&query_place_id=ChIJD3hDFesOUkMR6Gb8OCtuArc,JUNTA! - Agência de Tráfego Pago - São Paulo,JUNTA! - Agência de Tráfego Pago - São Paulo,JUNTA! - Agência de Tráfego Pago - São Paulo,5,25,+55 11 97348-6432,https://agenciajunta.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Natomada%20Produ%C3%A7%C3%B5es&query_place_id=ChIJqzO4VxRFzpQR4FVMaRlATPI,Natomada Produções,Natomada Produções,Natomada Produções,5,43,+55 11 4053-3535,https://natomadaproducoes.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20de%20Tr%C3%A1fego%20Pago%20Santana%20Sp%7C%20Danilo%20Bernardo&query_place_id=ChIJGTQu_Qj3zpQRhyR2ObB9Oio,Agência de Tráfego Pago Santana Sp| Danilo Bernardo,Agência de Tráfego Pago Santana Sp| Danilo Bernardo,Agência de Tráfego Pago Santana Sp| Danilo Bernardo,4.7,13,+55 11 94836-1962,https://contratetrafegopago.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=AE%20Digital%20-%20Ag%C3%AAncia%20Digital%20em%20S%C3%A3o%20Paulo&query_place_id=ChIJbx3sStlWzpQRFYviROVgCro,AE Digital - Agência Digital em São Paulo,AE Digital - Agência Digital em São Paulo,AE Digital - Agência Digital em São Paulo,4.8,13,+55 11 3045-9158,https://ae.digital/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=SD%20Marketing%20Mobile%20%7C%20Assessoria%20Digital&query_place_id=ChIJFZA20jJZzpQRoZJlGRjbwm8,SD Marketing Mobile | Assessoria Digital,SD Marketing Mobile | Assessoria Digital,SD Marketing Mobile | Assessoria Digital,5,74,,https://sdmarketingmobile.com/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Digital%20SP&query_place_id=ChIJ0egC-tj5zpQRuUAeQTJRXhk,Digital SP,Digital SP,Digital SP,5,38,+55 11 99700-7023,https://marketingdigitalemsaopaulo.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=A%24%20M%C3%8DDIA%20BR%20%7C%20Marketing%20S%C3%A3o%20Paulo&query_place_id=ChIJCUXGNlQrR6gRFa2GSY4Z4zA,A$ MÍDIA BR | Marketing São Paulo,A$ MÍDIA BR | Marketing São Paulo,A$ MÍDIA BR | Marketing São Paulo,,0,+55 11 97969-7951,https://www.instagram.com/asmidiabr/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=GESTOR%20DE%20TR%C3%81FEGO%20PAGO%20-%20PAULO%20HENRIQUE&query_place_id=ChIJvz-eRFtRzpQRQ2HxNmRpINg,GESTOR DE TRÁFEGO PAGO - PAULO HENRIQUE,GESTOR DE TRÁFEGO PAGO - PAULO HENRIQUE,GESTOR DE TRÁFEGO PAGO - PAULO HENRIQUE,3.9,98,+55 11 97772-5920,,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=AG%20S%C3%A3o%20Paulo%20Marketing&query_place_id=ChIJ8yFqW3P-zpQRhc0JC-rilK4,AG São Paulo Marketing,AG São Paulo Marketing,AG São Paulo Marketing,4.3,6,+55 11 94053-3613,https://agsaopaulo.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Trampoline%20Ag%C3%AAncia%20de%20Tr%C3%A1fego%20Pago%20e%20SEO&query_place_id=ChIJh6B0eu_2zpQRQFJu3hxKh3I,Trampoline Agência de Tráfego Pago e SEO,Trampoline Agência de Tráfego Pago e SEO,Trampoline Agência de Tráfego Pago e SEO,5,51,+55 11 94221-0894,https://www.trampoline.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Logar&query_place_id=ChIJ6wD9C0n3zpQRa-LpjcBGMWE,Agência Logar,Agência Logar,Agência Logar,5,35,+55 11 94744-8585,http://www.agencialogar.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=G%20Marketing%20Publicidade%20Digital&query_place_id=ChIJLVLT6etlzpQRoLhy832-8YQ,G Marketing Publicidade Digital,G Marketing Publicidade Digital,G Marketing Publicidade Digital,5,47,+55 800 580 2766,https://grupomapsempresas.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20de%20Marketing%20Digital%20e%20Intelig%C3%AAncia%20Artificial&query_place_id=ChIJ13YCa1L4zpQRnSjpZfNpSZs,Agência de Marketing Digital e Inteligência Artificial,Agência de Marketing Digital e Inteligência Artificial,Agência de Marketing Digital e Inteligência Artificial,4.6,52,,http://www.agenciaexplorer.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Best%20Friends&query_place_id=ChIJLerDYglRzpQRflmqm-F6o_o,Agência Best Friends,Agência Best Friends,Agência Best Friends,5,34,+55 11 96958-5951,https://www.agenciabestfriends.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20de%20Marketing%20-%20DASCKUP&query_place_id=ChIJu8Z7U2hZzpQRq7PWnSn0vDk,Agência de Marketing - DASCKUP,Agência de Marketing - DASCKUP,Agência de Marketing - DASCKUP,5,64,+55 11 3136-0946,https://www.dasckup.com/?utm_source=google_meu_negocio&utm_medium=referral&utm_campaign=Google%20Meu%20Neg%C3%B3cio&channel_id=69d1497534ebca959f1a9c4a&campaign_id=69d3fa10509da29177813828,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Santa%20Clara%20-%20Ag%C3%AAncia%20%26%20Consultoria%20de%20Comunica%C3%A7%C3%A3o&query_place_id=ChIJd4l1f71XzpQRkUC3GStnp74,Santa Clara - Agência & Consultoria de Comunicação,Santa Clara - Agência & Consultoria de Comunicação,Santa Clara - Agência & Consultoria de Comunicação,4.4,22,+55 11 3014-2814,https://santaclara.sc/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Be%20Noticed%20%7C%20Tr%C3%A1fego%20Pago%20%7C%20S%C3%A3o%20Paulo&query_place_id=ChIJRa5ZZk_jVCkROgoKR4pQNNE,Agência Be Noticed | Tráfego Pago | São Paulo,Agência Be Noticed | Tráfego Pago | São Paulo,Agência Be Noticed | Tráfego Pago | São Paulo,5,4,+55 11 94318-3161,https://agenciabenoticed.com.br/agencia-be-noticed/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=ID%20Sense%20Design%20-%20Ag%C3%AAncia%20de%20Design%20Gr%C3%A1fico%20em%20S%C3%A3o%20Paulo%20e%20todo%20Brasil&query_place_id=ChIJTb_oiAjbX5IRDiovCrxb38U,ID Sense Design - Agência de Design Gráfico em São Paulo e todo Brasil,ID Sense Design - Agência de Design Gráfico em São Paulo e todo Brasil,ID Sense Design - Agência de Design Gráfico em São Paulo e todo Brasil,5,30,+55 11 97751-0845,http://www.behance.net/tiagofck,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=LUZ%20PUBLICIDADE%20SP%20SUL%20LTDA&query_place_id=ChIJOXqo1MdZzpQRp26l33BcegA,LUZ PUBLICIDADE SP SUL LTDA,LUZ PUBLICIDADE SP SUL LTDA,LUZ PUBLICIDADE SP SUL LTDA,4.5,15,+55 11 3121-5555,http://www.luzpublicidade.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Elipse%20Publicidade%20e%20Propaganda&query_place_id=ChIJ02xEichZzpQRMtMZRx5g9FM,Elipse Publicidade e Propaganda,Elipse Publicidade e Propaganda,Elipse Publicidade e Propaganda,5,41,+55 11 99265-6886,https://www.elipsepublicidade.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Front&query_place_id=ChIJTRfFO4NXzpQRLAAOe4wva5w,Agência Front,Agência Front,Agência Front,4.7,38,+55 11 98581-4778,http://agenciafront.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Pulso%20-%20Marketing%20digital&query_place_id=ChIJt5ZjzJpZzpQRFMDOXfMwYSs,Agência Pulso - Marketing digital,Agência Pulso - Marketing digital,Agência Pulso - Marketing digital,4.7,13,+55 11 94771-9585,https://www.agenciapulso.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Hiro%20Comunica%C3%A7%C3%A3o%20-%20Ag%C3%AAncia%20de%20Publicidade%20Full%20Service%2C%20SEO%2C%20UX%2C%20Marketing%20Digital%2C%20Sites%20e%20Planejamento%20Estrat%C3%A9gico&query_place_id=ChIJHy16vbBZzpQRPHNOyWdsOiw,"Hiro Comunicação - Agência de Publicidade Full Service, SEO, UX, Marketing Digital, Sites e Planejamento Estratégico","Hiro Comunicação - Agência de Publicidade Full Service, SEO, UX, Marketing Digital, Sites e Planejamento Estratégico","Hiro Comunicação - Agência de Publicidade Full Service, SEO, UX, Marketing Digital, Sites e Planejamento Estratégico",4.5,25,+55 11 96378-8619,http://www.hirocomunicacao.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Tipo%20-%20Especialistas%20em%20Marketing%20Industrial&query_place_id=ChIJuc-sVhFczpQR-UJVCsBbmSk,Agência Tipo - Especialistas em Marketing Industrial,Agência Tipo - Especialistas em Marketing Industrial,Agência Tipo - Especialistas em Marketing Industrial,4.5,16,+55 11 4215-7665,https://www.agenciatipo.com.br/,Agência de Marketing
https://www.google.com/maps/search/?api=1&query=Ag%C3%AAncia%20Caprone&query_place_id=ChIJPZSVMhFXzpQRtXafdEls-84,Agência Caprone,Agência Caprone,Agência Caprone,5,26,,http://www.agenciacaprone.com.br/,Agência de Marketing
